"fiscal_year","department_name","vendor_name","dollar_amount","expenditure_type","authority_name"
"2013","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","60374451","67","67"
"2019","WATER AND POWER","PARKIA INC","59685899.88","24","24"
"2019","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","59123187.77","68","68"
"2012","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","58699186.86","12","12"
"2018","WATER AND POWER","OHL USA, INC","58541205.86","17","17"
"2015","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","56902047.69","18","18"
"2019","WATER AND POWER","CIMA ENERGY LP","55292314.06","14","14"
"2021","WATER AND POWER","EDISON POWER CONSTRUCTORS","54688426.11","188","188"
"2020","WATER AND POWER","PARKIA INC","54476602.74","13","13"
"2014","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","53671077.05","12","12"
"2019","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","52980530.66","16","16"
"2021","WATER AND POWER","KIEWIT INFRASTRUCTURE WEST CO KIEWIT FINANCE GROUP INC.","52488539.94","24","24"
"2018","WATER AND POWER","ECK V CITY OF LOS ANGELES SETTLEMENT FUND","52000000","6","6"
"2013","WATER AND POWER","GENERAL ELECTRIC COMPANY","51296798.95","6","6"
"2018","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","50516404.15","11","11"
"2014","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","50325672.09","24","24"
"2021","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","48818860.90","12","12"
"2021","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","48413172.41","36","36"
"2017","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","46425020.54","9","9"
"2013","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","46226662.58","12","12"
"2013","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","46108714.66","21","21"
"2022","WATER AND POWER","PARKIA INC","46073847.39","9","9"
"2020","WATER AND POWER","EDISON POWER CONSTRUCTORS","45746781.70","175","175"
"2020","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","45552404.08","56","56"
"2022","WATER AND POWER","SCPPA C/O OFFICE OF THE TREASURER","44687154.89","37","37"
"2019","WATER AND POWER","UNITED HEALTHCARE","44565291.76","132","132"
"2019","WATER AND POWER","L-3 COMMUNICATIONS MARIPRO INC","43893002.76","13","13"
"2022","WATER AND POWER","EDISON POWER CONSTRUCTORS","43579156.16","188","188"
"2017","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","43498269.87","15","15"
"2017","WATER AND POWER","CA. ARB AUCTION & RESERVE SALE FINANCIAL SVCS ADMINISTRATOR","42951020","5","5"
"2015","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","42742058.68","13","13"
"2019","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","42468968.52","10","10"
"2018","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","42332560.15","14","14"
"2017","WATER AND POWER","UNITED HEALTHCARE","42013709.52","132","132"
"2018","WATER AND POWER","UNITED HEALTHCARE","41925299.91","132","132"
"2014","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","41479038.63","12","12"
"2017","WATER AND POWER","W.A. RASIC / SAK JOINT VENTURE","41067325.99","12","12"
"2015","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","40979479.03","52","52"
"2017","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","40742682.39","50","50"
"2018","WATER AND POWER","EDISON POWER CONSTRUCTORS","39831910.45","246","246"
"2015","WATER AND POWER","UNITED HEALTHCARE","39669246.89","132","132"
"2016","WATER AND POWER","UNITED HEALTHCARE","39656465.83","132","132"
"2014","WATER AND POWER","UNITED HEALTHCARE","38268717.81","148","148"
"2013","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","38252665.74","13","13"
"2019","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","38217566.09","11","11"
"2012","WATER AND POWER","MELLON BANK OF NEW ENGLAND C/O OFFICE OF THE TREASURER","37500000","5","5"
"2017","WATER AND POWER","ONESOURCE DISTRIBUTORS","37319117.78","1251","1251"
"2014","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","37187732.97","6","6"
"2016","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","37081922.70","12","12"
"2017","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","35945929.37","13","13"
"2018","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","35851998.98","13","13"
"2018","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","34797150.48","24","24"
"2013","WATER AND POWER","STATE BOARD OF EQUALIZATION","34600458.87","58","58"
"2016","WATER AND POWER","W.A. RASIC / SAK JOINT VENTURE","34479518.52","13","13"
"2020","WATER AND POWER","SRPAI&PD ELEC.SYS.REVENUE FUND C/O OFFICE OF THE TREASURER","34288265.65","13","13"
"2014","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","33391443.96","7","7"
"2013","WATER AND POWER","UNITED HEALTHCARE","33026764.02","158","158"
"2018","WATER AND POWER","PARKIA INC","32985530.54","15","15"
"2019","WATER AND POWER","ABB, INC.","32813738.15","15","15"
"2020","WATER AND POWER","UNITED HEALTHCARE","32280177.70","97","97"
"2019","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","31904695.32","42","42"
"2013","WATER AND POWER","FIRST AMERICAN TITLE INSURANCE COMPANY","31771989.6","5","5"
"2012","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","31740360.57","7","7"
"2012","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","31067081.61","19","19"
"2018","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","31063314.15","24","24"
"2019","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","31031512.48","42","42"
"2022","WATER AND POWER","UAMPS (UTAH ASSOC.MUNCIP PWR SYSTEMS)","30998526.90","12","12"
"2020","WATER AND POWER","TRC SOLUTIONS, INC.","30866025.16","13","13"
"2016","WATER AND POWER","ONESOURCE DISTRIBUTORS","30658227.12","990","990"
"2013","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","30512587.43","19","19"
"2017","WATER AND POWER","CIMA ENERGY LTD","30223656.90","13","13"
"2022","WATER AND POWER","CIMA ENERGY LP","29951524.54","6","6"
"2019","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","29835902.71","15","15"
"2015","WATER AND POWER","TAIHAN ELECTRIC USA LTD","29769588.30","27","27"
"2018","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","29275256.60","14","14"
"2022","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","29112341.62","4","4"
"2020","WATER AND POWER","ABB, INC.","28762480.69","11","11"
"2013","WATER AND POWER","GE PACKAGED POWER INC","28736243.20","30","30"
"2022","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","28544218.18","38","38"
"2015","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","28431283.71","20","20"
"2019","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","28409600","13","13"
"2014","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","28289938","15","15"
"2019","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","28241868.30","5","5"
"2012","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","28118692.36","37","37"
"2019","WATER AND POWER","PETRELLI ELECTRIC, INC.","27943891.49","205","205"
"2022","WATER AND POWER","PETRELLI ELECTRIC, INC.","27608411.23","164","164"
"2020","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","27582747.95","34","34"
"2018","WATER AND POWER","ONESOURCE DISTRIBUTORS","27447982.10","996","996"
"2017","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","27246091.71","24","24"
"2016","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","27174800.71","15","15"
"2012","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","27087670.41","19","19"
"2017","WATER AND POWER","EDISON POWER CONSTRUCTORS","26640924.71","156","156"
"2021","WATER AND POWER","PARKIA INC","26455462.43","7","7"
"2018","WATER AND POWER","ABB, INC.","26449882.9","10","10"
"2016","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","26313480.41","34","34"
"2017","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","26145033.12","6","6"
"2018","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","26143194.18","40","40"
"2021","WATER AND POWER","ARIZONA NUCLEAR POWER PROJECT ARIZONA PUBLIC SERVICE CO.","26120865.09","31","31"
"2018","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","25983687.20","5","5"
"2018","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","25914560","12","12"
"2012","WATER AND POWER","SOLAR WORLD CALIFORNIA SOLAR WORLD AMERICAS LLC","25593757.55","27","27"
"2018","WATER AND POWER","PETRELLI ELECTRIC, INC.","25513330.59","172","172"
"2014","WATER AND POWER","GE INTERNATIONAL, INC.","25441938.36","35","35"
"2017","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","25420934.39","14","14"
"2019","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","25296601.10","11","11"
"2020","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","25182200.37","5","5"
"2014","WATER AND POWER","BUREAU OF RECLAMATION","25155548.68","3","3"
"2017","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","24943040","12","12"
"2020","WATER AND POWER","PETRELLI ELECTRIC, INC.","24850379.56","142","142"
"2017","WATER AND POWER","PARKIA INC","24793484.89","18","18"
"2014","WATER AND POWER","PRICEWATERHOUSECOOPERS","24708233.79","58","58"
"2020","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","24580417.62","9","9"
"2022","WATER AND POWER","TREE SERVICE KINGS, INC","24521565.33","117","117"
"2012","WATER AND POWER","AECOM USA, INC","24418149.03","51","51"
"2019","WATER AND POWER","SALT RIVER PROJECT C/O OFFICE OF THE TREASURER","24408109.44","22","22"
"2020","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","24009522.51","37","37"
"2020","WATER AND POWER","FRONTIER-KEMPER CONSTRUCTORS, INC.","23965400.84","6","6"
"2013","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","23942136.92","5","5"
"2016","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","23835023.44","4","4"
"2018","WATER AND POWER","CIMA ENERGY LTD","23662459.82","8","8"
"2017","WATER AND POWER","FALCON FUELS, INC.","23599934.36","2285","2285"
"2015","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","23556085.94","4","4"
"2020","WATER AND POWER","SOFTWARE ONE, INC.","23487218.02","136","136"
"2014","WATER AND POWER","CA. ARB AUCTION & RESERVE SALE FINANCIAL SVCS ADMINISTRATOR","23319140","5","5"
"2012","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","23180949.41","11","11"
"2017","WATER AND POWER","WEBCOR/OBAYASHI/LYLES AJV","23163594.60","41","41"
"2013","WATER AND POWER","COUNTY OF LOS ANGELES DEPARTMENT OF PUBLIC WORKS","23000000","5","5"
"2017","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","22974677.59","12","12"
"2019","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","22893684.83","153","153"
"2018","WATER AND POWER","BP ENERGY COMPANY C/O OFFICE OF THE TREASURER","22495459.26","16","16"
"2015","WATER AND POWER","CA. ARB AUCTION & RESERVE SALE FINANCIAL SVCS ADMINISTRATOR","22486520","4","4"
"2016","WATER AND POWER","SOUTHERN CALIFORNIA EDISON C/O OFFICE OF THE TREASURER","22407520","12","12"
"2013","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","22389501.83","14","14"
"2015","WATER AND POWER","ONESOURCE DISTRIBUTORS","22332058.37","959","959"
"2016","WATER AND POWER","ORACLE AMERICA, INC","22325572.98","149","149"
"2020","WATER AND POWER","CIMA ENERGY LP","22230203.18","9","9"
"2015","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","22219581.67","26","26"
"2016","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","22014975.37","12","12"
"2018","WATER AND POWER","FIRST AMERICAN TITLE INSURANCE COMPANY","22007995","4","4"
"2022","WATER AND POWER","AON RISK INS SERVICES WEST INC DBA AON RISK SERVICES OF","21862018.47","35","35"
"2014","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","21858412.80","12","12"
"2013","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","21848700.60","12","12"
"2015","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","21830799.57","12","12"
"2012","WATER AND POWER","KERN RIVER GAS TRANSM CO C/O OFFICE OF THE TREASURER","21822947.54","12","12"
"2014","WATER AND POWER","CHICAGO TITLE COMPANY","21766787.42","292","292"
"2020","WATER AND POWER","PEABODY ENERGY CORPORATION","21651983.23","3","3"
"2021","WATER AND POWER","PETRELLI ELECTRIC, INC.","21510076.40","149","149"
"2022","WATER AND POWER","UNITED HEALTHCARE","21496982.14","102","102"
"2021","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","21048581.46","4","4"
"2013","WATER AND POWER","WELLS FARGO INSURANCE SERVICES USA INC","20995941.87","45","45"
"2014","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","20825383.40","24","24"
"2022","WATER AND POWER","MOAPA SOUTHERN PAIUTE SOLAR, LLC","20798051.13","4","4"
"2018","WATER AND POWER","BARNARD CONST. CO C/O OFFICE OF THE TREASURER","20796655.59","6","6"
"2014","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","20670341.60","12","12"
"2019","WATER AND POWER","ORACLE CORPORATION","20649424.86","54","54"
"2021","WATER AND POWER","MACQUARIE COOK ENERGY LLC C/O OFFICE OF THE TREASURER","20607674.52","8","8"
"2018","WATER AND POWER","CITY TREASURER, CITY OF LA FICA AND MEDICARE ACCOUNTS","20533508.69","139","139"
"2012","WATER AND POWER","UNION BANK, BAKERSFIELD, CA C/O OFFICE OF THE TREASURER","20442824.41","3","3"
"2015","WATER AND POWER","VOITH HYDRO INC","20408448.72","14","14"
"2022","WATER AND POWER","SO CALIFORNIA GAS COMPANY C/O OFFICE OF THE TREASURER","20399299.46","6","6"
"2014","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","20322079.82","20","20"
"2015","WATER AND POWER","ULTRA RESOURCES, INC","20253954.70","12","12"
"2021","WATER AND POWER","UNITED HEALTHCARE","20161555.77","100","100"
"2016","WATER AND POWER","U.S. BANK CORPORATE PAYMENT SYSTEM","20087631.47","24","24"
"2019","WATER AND POWER","REYNOLDS BUICK, INC.","20066643.63","472","472"
