"fiscal_year","change_type","activity_type","activity","amount_in_thousands","absolute_amount_in_thousands"
"2005","Expenses","Governmental Activities","Health and Sanitation","298777","298777"
"2006","Expenses","Governmental Activities","Health and Sanitation","357574","357574"
"2007","Expenses","Governmental Activities","Health and Sanitation","402730","402730"
"2008","Expenses","Governmental Activities","Health and Sanitation","381406","381406"
"2009","Expenses","Governmental Activities","Health and Sanitation","416247","416247"
"2010","Expenses","Governmental Activities","Health and Sanitation","382127","382127"
"2011","Expenses","Governmental Activities","Health and Sanitation","393827","393827"
"2012","Expenses","Governmental Activities","Health and Sanitation","416894","416894"
"2013","Expenses","Governmental Activities","Health and Sanitation","405934","405934"
"2014","Expenses","Governmental Activities","Health and Sanitation","519519","519519"
"2005","Expenses","Governmental Activities","Transportation","202952","202952"
"2006","Expenses","Governmental Activities","Transportation","286741","286741"
"2007","Expenses","Governmental Activities","Transportation","367198","367198"
"2008","Expenses","Governmental Activities","Transportation","392748","392748"
"2009","Expenses","Governmental Activities","Transportation","406464","406464"
"2010","Expenses","Governmental Activities","Transportation","368000","368000"
"2011","Expenses","Governmental Activities","Transportation","338755","338755"
"2012","Expenses","Governmental Activities","Transportation","365841","365841"
"2013","Expenses","Governmental Activities","Transportation","423595","423595"
"2014","Expenses","Governmental Activities","Transportation","425967","425967"
"2005","Expenses","Governmental Activities","Cultural and Recreational Services","413344","413344"
"2006","Expenses","Governmental Activities","Cultural and Recreational Services","336264","336264"
"2007","Expenses","Governmental Activities","Cultural and Recreational Services","382523","382523"
"2008","Expenses","Governmental Activities","Cultural and Recreational Services","446051","446051"
"2009","Expenses","Governmental Activities","Cultural and Recreational Services","413119","413119"
"2008","Expenses","Business-type Activities","Water","704529","704529"
"2010","Expenses","Governmental Activities","Cultural and Recreational Services","415344","415344"
"2011","Expenses","Governmental Activities","Cultural and Recreational Services","446805","446805"
"2012","Expenses","Governmental Activities","Cultural and Recreational Services","445815","445815"
"2013","Expenses","Governmental Activities","Cultural and Recreational Services","482692","482692"
"2014","Expenses","Governmental Activities","Cultural and Recreational Services","524282","524282"
"2005","Expenses","Governmental Activities","Community Development","318119","318119"
"2006","Expenses","Governmental Activities","Community Development","297308","297308"
"2007","Expenses","Governmental Activities","Community Development","308700","308700"
"2008","Expenses","Governmental Activities","Community Development","405859","405859"
"2009","Expenses","Governmental Activities","Community Development","373244","373244"
"2010","Expenses","Governmental Activities","Community Development","349203","349203"
"2011","Expenses","Governmental Activities","Community Development","429695","429695"
"2012","Expenses","Governmental Activities","Community Development","437229","437229"
"2013","Expenses","Governmental Activities","Community Development","386346","386346"
"2014","Expenses","Governmental Activities","Community Development","321263","321263"
"2005","Expenses","Governmental Activities","Interest on Long-term Debt","181113","181113"
"2006","Expenses","Governmental Activities","Interest on Long-term Debt","173930","173930"
"2007","Expenses","Governmental Activities","Interest on Long-term Debt","195925","195925"
"2008","Expenses","Governmental Activities","Interest on Long-term Debt","217073","217073"
"2009","Expenses","Governmental Activities","Interest on Long-term Debt","189966","189966"
"2010","Expenses","Governmental Activities","Interest on Long-term Debt","186711","186711"
"2011","Expenses","Governmental Activities","Interest on Long-term Debt","190424","190424"
"2012","Expenses","Governmental Activities","Interest on Long-term Debt","194513","194513"
"2013","Expenses","Governmental Activities","Interest on Long-term Debt","179588","179588"
"2014","Expenses","Governmental Activities","Interest on Long-term Debt","159991","159991"
"2005","Expenses","Business-type Activities","Airports","599483","599483"
"2006","Expenses","Business-type Activities","Airports","657358","657358"
"2007","Expenses","Business-type Activities","Airports","684853","684853"
"2008","Expenses","Business-type Activities","Airports","755983","755983"
"2009","Expenses","Business-type Activities","Airports","782036","782036"
"2010","Expenses","Business-type Activities","Airports","765513","765513"
"2011","Expenses","Business-type Activities","Airports","834071","834071"
"2012","Expenses","Business-type Activities","Airports","897380","897380"
"2013","Expenses","Business-type Activities","Airports","922914","922914"
"2014","Expenses","Business-type Activities","Airports","984754","984754"
"2005","Expenses","Business-type Activities","Harbor","284567","284567"
"2006","Expenses","Business-type Activities","Harbor","340656","340656"
"2007","Expenses","Business-type Activities","Harbor","326368","326368"
"2008","Expenses","Business-type Activities","Harbor","342148","342148"
"2009","Expenses","Business-type Activities","Harbor","382168","382168"
"2010","Expenses","Business-type Activities","Harbor","336104","336104"
"2011","Expenses","Business-type Activities","Harbor","310534","310534"
"2012","Expenses","Business-type Activities","Harbor","333355","333355"
"2013","Expenses","Business-type Activities","Harbor","331626","331626"
"2014","Expenses","Business-type Activities","Harbor","372645","372645"
"2005","Expenses","Business-type Activities","Power","2233084","2233084"
"2006","Expenses","Business-type Activities","Power","2458667","2458667"
"2007","Expenses","Business-type Activities","Power","2462202","2462202"
"2008","Expenses","Business-type Activities","Power","2658634","2658634"
"2009","Expenses","Business-type Activities","Power","2544032","2544032"
"2010","Expenses","Business-type Activities","Power","2843642","2843642"
"2011","Expenses","Business-type Activities","Power","2964399","2964399"
"2012","Expenses","Business-type Activities","Power","2870609","2870609"
"2013","Expenses","Business-type Activities","Power","2928377","2928377"
"2014","Expenses","Business-type Activities","Power","3092108","3092108"
"2005","Expenses","Business-type Activities","Water","525152","525152"
"2006","Expenses","Business-type Activities","Water","543574","543574"
"2007","Expenses","Business-type Activities","Water","605181","605181"
"2009","Expenses","Business-type Activities","Water","762802","762802"
"2010","Expenses","Business-type Activities","Water","787836","787836"
"2011","Expenses","Business-type Activities","Water","791049","791049"
"2012","Expenses","Business-type Activities","Water","799575","799575"
"2013","Expenses","Business-type Activities","Water","939094","939094"
"2014","Expenses","Business-type Activities","Water","1053150","1053150"
"2005","Expenses","Business-type Activities","Sewer","480392","480392"
"2006","Expenses","Business-type Activities","Sewer","497699","497699"
"2007","Expenses","Business-type Activities","Sewer","513377","513377"
"2008","Expenses","Business-type Activities","Sewer","554447","554447"
"2009","Expenses","Business-type Activities","Sewer","553251","553251"
"2010","Expenses","Business-type Activities","Sewer","552006","552006"
"2011","Expenses","Business-type Activities","Sewer","557269","557269"
"2012","Expenses","Business-type Activities","Sewer","542850","542850"
"2013","Expenses","Business-type Activities","Sewer","572425","572425"
"2014","Expenses","Business-type Activities","Sewer","542007","542007"
"2005","Expenses","Business-type Activities","Other- Convention Center","34371","34371"
"2006","Expenses","Business-type Activities","Other- Convention Center","34939","34939"
"2007","Expenses","Business-type Activities","Other- Convention Center","35741","35741"
"2008","Expenses","Business-type Activities","Other- Convention Center","38753","38753"
"2009","Expenses","Business-type Activities","Other- Convention Center","38718","38718"
"2010","Expenses","Business-type Activities","Other- Convention Center","32842","32842"
"2011","Expenses","Business-type Activities","Other- Convention Center","40400","40400"
"2012","Expenses","Business-type Activities","Other- Convention Center","39107","39107"
"2013","Expenses","Business-type Activities","Other- Convention Center","39073","39073"
"2014","Expenses","Business-type Activities","Other- Convention Center","38450","38450"
"2005","Program Revenues","Governmental Activities","Charges for Services-General Government","254101","254101"
"2006","Program Revenues","Governmental Activities","Charges for Services-General Government","250111","250111"
"2007","Program Revenues","Governmental Activities","Charges for Services-General Government","256524","256524"
"2008","Program Revenues","Governmental Activities","Charges for Services-General Government","260540","260540"
"2009","Program Revenues","Governmental Activities","Charges for Services-General Government","278800","278800"
"2010","Program Revenues","Governmental Activities","Charges for Services-General Government","204372","204372"
"2011","Program Revenues","Governmental Activities","Charges for Services-General Government","241681","241681"
"2012","Program Revenues","Governmental Activities","Charges for Services-General Government","246357","246357"
"2013","Program Revenues","Governmental Activities","Charges for Services-General Government","305545","305545"
"2014","Program Revenues","Governmental Activities","Charges for Services-General Government","246641","246641"
"2005","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","281451","281451"
"2006","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","260457","260457"
"2007","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","323736","323736"
"2008","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","357038","357038"
"2009","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","281388","281388"
"2010","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","333778","333778"
"2011","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","317283","317283"
"2012","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","326396","326396"
"2013","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","385961","385961"
"2014","Program Revenues","Governmental Activities","Charges for Services-Protection of Persons and Property","443352","443352"
"2005","Program Revenues","Governmental Activities","Charges for Services-Public Works","144037","144037"
"2006","Program Revenues","Governmental Activities","Charges for Services-Public Works","138345","138345"
"2007","Program Revenues","Governmental Activities","Charges for Services-Public Works","160213","160213"
"2008","Program Revenues","Governmental Activities","Charges for Services-Public Works","173774","173774"
"2009","Program Revenues","Governmental Activities","Charges for Services-Public Works","166387","166387"
"2010","Program Revenues","Governmental Activities","Charges for Services-Public Works","170997","170997"
"2011","Program Revenues","Governmental Activities","Charges for Services-Public Works","162551","162551"
"2012","Program Revenues","Governmental Activities","Charges for Services-Public Works","166061","166061"
"2013","Program Revenues","Governmental Activities","Charges for Services-Public Works","169473","169473"
"2014","Program Revenues","Governmental Activities","Charges for Services-Public Works","165229","165229"
"2005","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","242681","242681"
"2006","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","250527","250527"
"2007","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","285705","285705"
"2008","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","379300","379300"
"2009","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","445108","445108"
"2010","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","454586","454586"
"2011","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","467614","467614"
"2012","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","493422","493422"
"2013","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","495544","495544"
"2014","Program Revenues","Governmental Activities","Charges for Services-Health and Sanitation","492238","492238"
"2005","Program Revenues","Governmental Activities","Charges for Services-Transportation","65729","65729"
"2006","Program Revenues","Governmental Activities","Charges for Services-Transportation","76785","76785"
"2007","Program Revenues","Governmental Activities","Charges for Services-Transportation","79961","79961"
"2008","Program Revenues","Governmental Activities","Charges for Services-Transportation","90588","90588"
"2009","Program Revenues","Governmental Activities","Charges for Services-Transportation","94832","94832"
"2010","Program Revenues","Governmental Activities","Charges for Services-Transportation","92390","92390"
"2011","Program Revenues","Governmental Activities","Charges for Services-Transportation","99797","99797"
"2012","Program Revenues","Governmental Activities","Charges for Services-Transportation","125392","125392"
"2013","Program Revenues","Governmental Activities","Charges for Services-Transportation","121374","121374"
"2014","Program Revenues","Governmental Activities","Charges for Services-Transportation","143103","143103"
"2005","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","98808","98808"
"2006","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","133073","133073"
"2007","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","130399","130399"
"2008","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","116853","116853"
"2009","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","119180","119180"
"2010","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","108822","108822"
"2011","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","128170","128170"
"2012","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","152434","152434"
"2013","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","149237","149237"
"2014","Program Revenues","Governmental Activities","Charges for Services-Cultural and Recreational Services","153544","153544"
"2005","Program Revenues","Governmental Activities","Charges for Services-Community Development","64435","64435"
"2006","Program Revenues","Governmental Activities","Charges for Services-Community Development","71884","71884"
"2007","Program Revenues","Governmental Activities","Charges for Services-Community Development","86800","86800"
"2008","Program Revenues","Governmental Activities","Charges for Services-Community Development","91347","91347"
"2009","Program Revenues","Governmental Activities","Charges for Services-Community Development","74988","74988"
"2010","Program Revenues","Governmental Activities","Charges for Services-Community Development","73344","73344"
"2011","Program Revenues","Governmental Activities","Charges for Services-Community Development","63903","63903"
"2012","Program Revenues","Governmental Activities","Charges for Services-Community Development","112897","112897"
"2013","Program Revenues","Governmental Activities","Charges for Services-Community Development","111259","111259"
"2014","Program Revenues","Governmental Activities","Charges for Services-Community Development","117097","117097"
"2005","Program Revenues","Governmental Activities","Operating Grants and Contributions","710146","710146"
"2006","Program Revenues","Governmental Activities","Operating Grants and Contributions","644539","644539"
"2007","Program Revenues","Governmental Activities","Operating Grants and Contributions","820809","820809"
"2008","Program Revenues","Governmental Activities","Operating Grants and Contributions","979238","979238"
"2009","Program Revenues","Governmental Activities","Operating Grants and Contributions","854128","854128"
"2010","Program Revenues","Governmental Activities","Operating Grants and Contributions","900569","900569"
"2011","Program Revenues","Governmental Activities","Operating Grants and Contributions","924031","924031"
"2012","Program Revenues","Governmental Activities","Operating Grants and Contributions","1023001","1023001"
"2013","Program Revenues","Governmental Activities","Operating Grants and Contributions","871459","871459"
"2014","Program Revenues","Governmental Activities","Operating Grants and Contributions","903146","903146"
"2005","Program Revenues","Governmental Activities","Capital Grants and Contributions","81402","81402"
"2006","Program Revenues","Governmental Activities","Capital Grants and Contributions","65850","65850"
"2007","Program Revenues","Governmental Activities","Capital Grants and Contributions","94607","94607"
"2008","Program Revenues","Governmental Activities","Capital Grants and Contributions","100994","100994"
"2009","Program Revenues","Governmental Activities","Capital Grants and Contributions","79981","79981"
"2010","Program Revenues","Governmental Activities","Capital Grants and Contributions","86275","86275"
"2011","Program Revenues","Governmental Activities","Capital Grants and Contributions","75744","75744"
"2012","Program Revenues","Governmental Activities","Capital Grants and Contributions","96156","96156"
"2013","Program Revenues","Governmental Activities","Capital Grants and Contributions","55138","55138"
"2014","Program Revenues","Governmental Activities","Capital Grants and Contributions","46878","46878"
"2005","Program Revenues","Business-type Activities","Charges for Services-Airports","736535","736535"
"2006","Program Revenues","Business-type Activities","Charges for Services-Airports","767660","767660"
"2007","Program Revenues","Business-type Activities","Charges for Services-Airports","846309","846309"
"2008","Program Revenues","Business-type Activities","Charges for Services-Airports","983787","983787"
"2009","Program Revenues","Business-type Activities","Charges for Services-Airports","960461","960461"
"2010","Program Revenues","Business-type Activities","Charges for Services-Airports","968022","968022"
"2011","Program Revenues","Business-type Activities","Charges for Services-Airports","1052790","1052790"
"2012","Program Revenues","Business-type Activities","Charges for Services-Airports","1114431","1114431"
"2013","Program Revenues","Business-type Activities","Charges for Services-Airports","1122704","1122704"
"2014","Program Revenues","Business-type Activities","Charges for Services-Airports","1038506","1038506"
"2005","Program Revenues","Business-type Activities","Charges for Services-Harbor","379637","379637"
"2006","Program Revenues","Business-type Activities","Charges for Services-Harbor","433223","433223"
"2007","Program Revenues","Business-type Activities","Charges for Services-Harbor","458785","458785"
"2008","Program Revenues","Business-type Activities","Charges for Services-Harbor","467161","467161"
"2009","Program Revenues","Business-type Activities","Charges for Services-Harbor","424036","424036"
"2010","Program Revenues","Business-type Activities","Charges for Services-Harbor","424321","424321"
"2011","Program Revenues","Business-type Activities","Charges for Services-Harbor","406606","406606"
"2012","Program Revenues","Business-type Activities","Charges for Services-Harbor","435291","435291"
"2013","Program Revenues","Business-type Activities","Charges for Services-Harbor","416974","416974"
"2014","Program Revenues","Business-type Activities","Charges for Services-Harbor","425951","425951"
"2005","Program Revenues","Business-type Activities","Charges for Services-Power","2378108","2378108"
"2006","Program Revenues","Business-type Activities","Charges for Services-Power","2636517","2636517"
"2007","Program Revenues","Business-type Activities","Charges for Services-Power","2773547","2773547"
"2008","Program Revenues","Business-type Activities","Charges for Services-Power","2962693","2962693"
"2009","Program Revenues","Business-type Activities","Charges for Services-Power","2899485","2899485"
"2010","Program Revenues","Business-type Activities","Charges for Services-Power","3372648","3372648"
"2011","Program Revenues","Business-type Activities","Charges for Services-Power","3252872","3252872"
"2012","Program Revenues","Business-type Activities","Charges for Services-Power","3212141","3212141"
"2013","Program Revenues","Business-type Activities","Charges for Services-Power","3264534","3264534"
"2014","Program Revenues","Business-type Activities","Charges for Services-Power","3319820","3319820"
"2005","Program Revenues","Business-type Activities","Charges for Services-Water","579134","579134"
"2006","Program Revenues","Business-type Activities","Charges for Services-Water","614620","614620"
"2007","Program Revenues","Business-type Activities","Charges for Services-Water","698773","698773"
"2008","Program Revenues","Business-type Activities","Charges for Services-Water","777110","777110"
"2009","Program Revenues","Business-type Activities","Charges for Services-Water","798664","798664"
"2010","Program Revenues","Business-type Activities","Charges for Services-Water","831039","831039"
"2011","Program Revenues","Business-type Activities","Charges for Services-Water","783056","783056"
"2012","Program Revenues","Business-type Activities","Charges for Services-Water","849122","849122"
"2013","Program Revenues","Business-type Activities","Charges for Services-Water","1073948","1073948"
"2014","Program Revenues","Business-type Activities","Charges for Services-Water","1141823","1141823"
"2005","Program Revenues","Business-type Activities","Charges for Services-Sewer","437996","437996"
"2006","Program Revenues","Business-type Activities","Charges for Services-Sewer","492403","492403"
"2007","Program Revenues","Business-type Activities","Charges for Services-Sewer","521393","521393"
"2008","Program Revenues","Business-type Activities","Charges for Services-Sewer","543417","543417"
"2009","Program Revenues","Business-type Activities","Charges for Services-Sewer","547666","547666"
"2010","Program Revenues","Business-type Activities","Charges for Services-Sewer","545874","545874"
"2011","Program Revenues","Business-type Activities","Charges for Services-Sewer","517212","517212"
"2012","Program Revenues","Business-type Activities","Charges for Services-Sewer","532026","532026"
"2013","Program Revenues","Business-type Activities","Charges for Services-Sewer","588987","588987"
"2014","Program Revenues","Business-type Activities","Charges for Services-Sewer","571570","571570"
"2005","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","20409","20409"
"2006","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","24261","24261"
"2007","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","26449","26449"
"2008","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","26162","26162"
"2009","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","26798","26798"
"2010","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","22501","22501"
"2011","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","26535","26535"
"2012","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","27355","27355"
"2013","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","27255","27255"
"2014","Program Revenues","Business-type Activities","Charges for Services-Other- Convention Center","24937","24937"
"2005","Program Revenues","Business-type Activities","Operating Grants and Contributions","11971","11971"
"2006","Program Revenues","Business-type Activities","Operating Grants and Contributions","17281","17281"
"2007","Program Revenues","Business-type Activities","Operating Grants and Contributions","11776","11776"
"2008","Program Revenues","Business-type Activities","Operating Grants and Contributions","10490","10490"
"2009","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2010","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2011","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2012","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2013","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2014","Program Revenues","Business-type Activities","Operating Grants and Contributions","0","0"
"2005","Program Revenues","Business-type Activities","Capital Grants and Contributions","53276","53276"
"2006","Program Revenues","Business-type Activities","Capital Grants and Contributions","130885","130885"
"2007","Program Revenues","Business-type Activities","Capital Grants and Contributions","150991","150991"
"2008","Program Revenues","Business-type Activities","Capital Grants and Contributions","201299","201299"
"2009","Program Revenues","Business-type Activities","Capital Grants and Contributions","153142","153142"
"2010","Program Revenues","Business-type Activities","Capital Grants and Contributions","151346","151346"
"2011","Program Revenues","Business-type Activities","Capital Grants and Contributions","174574","174574"
"2012","Program Revenues","Business-type Activities","Capital Grants and Contributions","158114","158114"
"2013","Program Revenues","Business-type Activities","Capital Grants and Contributions","109407","109407"
"2014","Program Revenues","Business-type Activities","Capital Grants and Contributions","367841","367841"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1145863","1145863"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1288126","1288126"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1389511","1389511"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1483049","1483049"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1603209","1603209"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1556179","1556179"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1521632","1521632"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1561778","1561778"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1629914","1629914"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Property Taxes","1653067","1653067"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","578542","578542"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","606617","606617"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","606624","606624"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","631716","631716"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","646165","646165"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","658110","658110"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","628028","628028"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","623721","623721"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","627707","627707"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Utility Users' Taxes","626919","626919"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","396316","396316"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","436621","436621"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","465353","465353"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","534272","534272"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","450848","450848"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","510269","510269"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","410888","410888"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","440327","440327"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","482857","482857"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Business Taxes","463602","463602"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","447397","447397"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","521451","521451"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","512410","512410"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","497455","497455"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","399851","399851"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","457473","457473"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","392405","392405"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","458741","458741"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","523308","523308"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Taxes-Other Taxes","565567","565567"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","394650","394650"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","418106","418106"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","445480","445480"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","456650","456650"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","412268","412268"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","399330","399330"
"2011","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","434539","434539"
"2012","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","425397","425397"
"2013","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","460086","460086"
"2014","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Sales Taxes","478291","478291"
"2005","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","90944","90944"
"2006","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","24120","24120"
"2007","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","24568","24568"
"2008","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","0","0"
"2009","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","13764","13764"
"2010","General Revenues and Other Change in Net Position","Governmental Activities","Unrestricted Grants and Contributions-Motor Vehicle In-Lieu Taxes","11496","11496"
