"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","business_tax_registration_certificate","government_activity","fund_group_name","fund_type","fund_name","account_name","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","contract_name","contract_link"
"493","2012","POLICE","PRIVACY-POLICE","2011-07-08T00:00:00.000","8208",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","US DEPT OF JUSTICE ASSET FORFE","SPA-MISC OPERATIONAL EXP","AD26120000000139","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"829","2012","CITY CLERK","HOLLYWOOD VAULTS INC","2011-07-11T00:00:00.000","600",,"0000708178","EXECUTIVE AND LEGISLATIVE","GOVERNMENTAL","SPECIAL REVENUE","INTELLECTUAL PROPERTY FUND","POLICE","AD26120000000425","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"980","2012","POLICE","BEK TEK LLC","2011-07-12T00:00:00.000","380",,"0002555846","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000000549","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"987","2012","POLICE","PARKER, MILLIKEN, CLARK, OHARA & SAMUELIAN APC","2011-07-12T00:00:00.000","4657.5","CO115057","0000165128","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000000555","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","PARKER MILLIKEN CLARK O'HARA &","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-115057"
"994","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000431","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"995","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000432","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"996","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000433","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"997","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","10944",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","US DEPT OF JUSTICE ASSET FORFE","SPA-MISC OPERATIONAL EXP","AD26120000000434","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"998","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000435","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"999","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","193",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000436","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1000","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000437","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1001","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000438","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1002","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000439","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1003","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000440","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1004","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000441","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1005","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000442","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1006","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000443","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1007","2012","POLICE","PRIVACY-POLICE","2011-07-12T00:00:00.000","750",,,"PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","LAPD REVOLVING TRAINING FUND","NON REIMBURSABLE TRAINING","AD26120000000444","PERSONNEL SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1009","2012","POLICE","US BANK","2011-07-12T00:00:00.000","1391.3","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","FIELD EQUIPMENT EXPENSE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1010","2012","POLICE","US BANK","2011-07-12T00:00:00.000","420.28","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","FIELD EQUIPMENT EXPENSE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1011","2012","POLICE","US BANK","2011-07-12T00:00:00.000","392.69","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","FIELD EQUIPMENT EXPENSE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1012","2012","POLICE","US BANK","2011-07-12T00:00:00.000","4608.69","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","FIELD EQUIPMENT EXPENSE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1013","2012","POLICE","US BANK","2011-07-12T00:00:00.000","1039.83","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OFFICE AND ADMINISTRATIVE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1014","2012","POLICE","US BANK","2011-07-12T00:00:00.000","1180.94","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OFFICE AND ADMINISTRATIVE","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1015","2012","POLICE","US BANK","2011-07-12T00:00:00.000","618.24","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1016","2012","POLICE","US BANK","2011-07-12T00:00:00.000","60.56","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1017","2012","POLICE","US BANK","2011-07-12T00:00:00.000","755.27","CO104430","6666666666","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","AD26120000000446","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","U S BANK","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-104430"
"1222","2012","POLICE","LINEAR SYSTEMS","2011-07-14T00:00:00.000","24204",,"4444444444","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","AD26120000001256","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1252","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","208.2","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1253","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","802.2","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1254","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","346.8","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1255","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","457.5","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1256","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","360","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1257","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","1260","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1258","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","138.75","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1259","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","426","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1260","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","1026.6","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1261","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","1284","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1262","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","782.4","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1263","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","63.75","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1264","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","423.75","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1283","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","127.5","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1284","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","202.5","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1285","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","325.85","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1286","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","519.06","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1287","2012","POLICE","LYNDEN J & ASSOCIATES INC","2011-07-14T00:00:00.000","238.55","CO110676","0000612029","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","CONTRACTUAL SERVICES","AD26120000001265","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS","LYNDEN J. AND ASSOCIATES INC.","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-110676"
"1305","2012","POLICE","AMERICAN EXPRESS","2011-07-14T00:00:00.000","22202.07",,"0002172655","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","TRAVEL","AD26120000000779","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1406","2012","POLICE","AMERICAN EXPRESS","2011-07-14T00:00:00.000","13366.34",,"0002172655","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","TRAVEL","AD26120000000785","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1407","2012","POLICE","AMERICAN EXPRESS","2011-07-14T00:00:00.000","4495.3",,"0002172655","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","TRAVEL","AD26120000000785","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
"1408","2012","POLICE","AMERICAN EXPRESS","2011-07-14T00:00:00.000","791.4",,"0002172655","PROTECTION OF PERSONS AND PROPERTY","GOVERNMENTAL","SPECIAL REVENUE","POLICE DEPT GRANT","2009 ARCHANGEL GRANT","AD26120000000785","SUPPLIES & OTHER SERVICES",,"1","2012-01 (JUL)","2012-01","7","JULY,2011","JULY","FMS",,
