"fiscal_year","neighborhood_council","transaction_date","transaction_details","type_of_payment","amount","credits"
"2016","Arleta","2016-03-22T00:00:00.000","PARTNERS IN DIVERSITY","Checks","80.85",
"2016","Arleta","2016-03-22T00:00:00.000","PIP PRINTING ONLINE PMT WEB UN1198192514POS","Electronic debits","973.55",
"2016","Arleta","2016-03-22T00:00:00.000","IMAGE SPECIALTIE ONLINE PMT WEB UN1198192514POS","Electronic debits","1646.9",
"2016","Arleta","2016-03-21T00:00:00.000","PACOIMA BEAUTIFU ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-03-17T00:00:00.000","LITTLE CAE ARLETA CA ARLETA CA","Electronic debits","35.41",
"2016","Arleta","2016-03-17T00:00:00.000","SIGNSDIREC 3098201070 IL 3098201070 IL","Electronic debits","399.98",
"2016","Arleta","2016-03-16T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-03-15T00:00:00.000","PHANTOM LITHOGRAPHY","Checks","3463.12",
"2016","Arleta","2016-03-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2016-03-01T00:00:00.000","PARTNERS IN DIVERSITY","Checks","51.98",
"2016","Arleta","2016-02-26T00:00:00.000","USPS 05575 ARLETA CA ARLETA CA","Electronic debits","13.48",
"2016","Arleta","2016-02-23T00:00:00.000","Partners in Diversity","Checks","150.15",
"2016","Arleta","2016-02-19T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2016-02-17T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.75",
"2016","Arleta","2016-02-09T00:00:00.000","PARTNERS IN DIVERSITY","Checks","190.58",
"2016","Arleta","2016-02-08T00:00:00.000","PIP","Checks","18.53",
"2016","Arleta","2016-02-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","479.61",
"2016","Arleta","2016-02-01T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.9",
"2016","Arleta","2016-01-26T00:00:00.000","Partners in Diversity","Checks","92.4",
"2016","Arleta","2016-01-25T00:00:00.000","TARGET NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","34.37",
"2016","Arleta","2016-01-20T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.75",
"2016","Arleta","2016-01-19T00:00:00.000","SMARTNFINA VAN NUYS CA VAN NUYS CA","Electronic debits","28.94",
"2016","Arleta","2016-01-19T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.75",
"2016","Arleta","2016-01-15T00:00:00.000","IMPREMEDIA 02138962126 CA 02138962126 CA","Electronic debits","228",
"2016","Arleta","2016-01-15T00:00:00.000","LA NEWSPAP 888-4549588 CA 888-4549588 CA","Electronic debits","783.11",
"2016","Arleta","2016-01-12T00:00:00.000","Partners In Diversity","Checks","57.75",
"2016","Arleta","2016-01-11T00:00:00.000","Aaron Devandry","Checks","250",
"2016","Arleta","2016-01-05T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"11250"
"2016","Arleta","2016-01-04T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2015-12-30T00:00:00.000","Partners in Diversity","Checks","98.18",
"2016","Arleta","2015-12-16T00:00:00.000","Aaron Devandry","Checks","250",
"2016","Arleta","2015-12-15T00:00:00.000","Partners in Diversity","Checks","150.16",
"2016","Arleta","2015-12-14T00:00:00.000","Pacoima Beautiful","Checks","100",
"2016","Arleta","2015-12-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2015-11-19T00:00:00.000","PARTNERS IN DIVE ONLINE PMT WEB UN1198192514POS","Electronic debits","664.13",
"2016","Arleta","2015-11-18T00:00:00.000","ANDERSON T NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","8.45",
"2016","Arleta","2015-11-18T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.9",
"2016","Arleta","2015-11-10T00:00:00.000","Partners in Diversity","Checks","109.73",
"2016","Arleta","2015-11-05T00:00:00.000","Party on Rentals","Checks","639",
"2016","Arleta","2015-11-04T00:00:00.000","AARON DEVANDRY ONLINE PMT WEB UN1198192514POS","Electronic debits","250",
"2016","Arleta","2015-11-02T00:00:00.000","EAST VALLE SUN VALLEY CA SUN VALLEY CA","Electronic debits","55.01",
"2016","Arleta","2015-11-02T00:00:00.000","SMARTNFINA GRANADA HILL CA GRANADA HILL CA","Electronic debits","25.14",
"2016","Arleta","2015-11-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2015-11-02T00:00:00.000","SMARTNFINA PACOIMA CA PACOIMA CA","Electronic debits","62.36",
"2016","Arleta","2015-10-23T00:00:00.000","LAUSD ONLINE PMT WEB UN1198192514POS","Electronic debits","486.48",
"2016","Arleta","2015-10-21T00:00:00.000","DOMINO&#039;S 8 310-473-5575 CA 310-473-5575 CA","Electronic debits","68.59",
"2016","Arleta","2015-10-14T00:00:00.000","PASTORA JUMP","Checks","433",
"2016","Arleta","2015-10-14T00:00:00.000","SMARTNFINA GRANADA HILL CA GRANADA HILL CA","Electronic debits","400",
"2016","Arleta","2015-10-06T00:00:00.000","AARON DEVANDRY","Checks","250",
"2016","Arleta","2015-10-05T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"11250"
"2016","Arleta","2015-10-02T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2015-09-28T00:00:00.000","APPLEONE EMPLOYMENT SERVICE","Checks","72.5",
"2016","Arleta","2015-09-21T00:00:00.000","ANDERSON T NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","92.92",
"2016","Arleta","2015-09-17T00:00:00.000","SUBWAY ARLETA CA ARLETA CA","Electronic debits","78",
"2016","Arleta","2015-09-16T00:00:00.000","PARTNERS IN DIVERSITY. INC","Checks","80.85",
"2016","Arleta","2015-09-08T00:00:00.000","AARON DEVANDRY","Checks","512",
"2016","Arleta","2015-09-08T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","460",
"2016","Arleta","2015-08-31T00:00:00.000","Aaron DeVandry","Checks","500",
"2016","Arleta","2015-08-26T00:00:00.000","LOWES #018 818-686-4300 NC 818-686-4300 NC","Electronic debits","543.91",
"2016","Arleta","2015-08-26T00:00:00.000","Appleone Employment Services","Checks","80.55",
"2016","Arleta","2015-08-25T00:00:00.000","LOWES #018 818-686-4300 NC 818-686-4300 NC","Electronic debits","740.11",
"2016","Arleta","2015-08-20T00:00:00.000","TOTAL OVERDRAFT ITEM PAID FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-08-20T00:00:00.000","CHECKING TRANSFER 4524","Electronic debits","183.15",
"2016","Arleta","2015-08-20T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic Credits",,"183.15"
"2016","Arleta","2015-08-19T00:00:00.000","TOTAL OVERDRAFT ITEM PAID FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-08-19T00:00:00.000","UB CHECKING TRANSFER 4524","Electronic debits","744.96",
"2016","Arleta","2015-08-19T00:00:00.000","Partners In Diversity","Checks","150.15",
"2016","Arleta","2015-08-19T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic Credits",,"744.96"
"2016","Arleta","2015-08-19T00:00:00.000","DOMINO&#039;S 8 310-473-5575 CA 310-473-5575 CA","Electronic debits","79.21",
"2016","Arleta","2015-08-18T00:00:00.000","TOTAL OVERDRAFT ITEM RETURNED FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-08-18T00:00:00.000","LAUSD","Checks","678.96",
"2016","Arleta","2015-08-18T00:00:00.000","OVERDRAFT ITEM RETURNED","Other credits and adjustments",,"150.15"
"2016","Arleta","2015-08-17T00:00:00.000","Partners In Diversity","Checks","150.15",
"2016","Arleta","2015-08-17T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic debits","339.61",
"2016","Arleta","2015-08-17T00:00:00.000","CHECKING TRANSFER 4524","Electronic Credits",,"339.61"
"2016","Arleta","2015-08-06T00:00:00.000","El Rancherto","Checks","2375",
"2016","Arleta","2015-08-06T00:00:00.000","ARLETA SEL 08188303811 CA 08188303811 CA","Electronic debits","1000",
"2016","Arleta","2015-08-04T00:00:00.000","Raspado Xpress","Checks","1375",
"2016","Arleta","2015-08-04T00:00:00.000","Partners In Diversity","Checks","115.5",
"2016","Arleta","2015-08-03T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"5500"
"2016","Arleta","2015-07-31T00:00:00.000","SERVICE CHARGE W/PAPER STATEMENT","Other Debits and Adjustments","5",
"2016","Arleta","2015-07-30T00:00:00.000","LOWES #009 866-483-7521 NC 866-483-7521 NC","Electronic debits","28.86",
"2016","Arleta","2015-07-29T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic Credits",,"524"
"2016","Arleta","2015-07-29T00:00:00.000","AMAZON.COM AMZN.COM/BIL WA AMZN.COM/BIL WA","Electronic debits","41.79",
"2016","Arleta","2015-07-29T00:00:00.000","TOTAL OVERDRAFT ITEM RETURNED FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-07-29T00:00:00.000","OVERDRAFT ITEM RETURNED","Other credits and adjustments",,"460"
"2016","Arleta","2015-07-29T00:00:00.000","CHECKING TRANSFER 4524","Electronic debits","524",
"2016","Arleta","2015-07-29T00:00:00.000","ANTONIO&#039;S PACOIMA CA PACOIMA CA","Electronic debits","99.75",
"2016","Arleta","2015-07-29T00:00:00.000","AMAZON.COM AMZN.COM/BIL WA AMZN.COM/BIL WA","Electronic debits","15.23",
"2016","Arleta","2015-07-28T00:00:00.000","Illusions by Allen","Checks","250",
"2016","Arleta","2015-07-28T00:00:00.000","TOTAL OVERDRAFT ITEM RETURNED FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-07-28T00:00:00.000","OVERDRAFT ITEM RETURNED","Other credits and adjustments",,"1512"
"2016","Arleta","2015-07-28T00:00:00.000","Arleta Self Storage","Checks","460",
"2016","Arleta","2015-07-27T00:00:00.000","PIP Printing and Marketing","Checks","1512",
"2016","Arleta","2015-07-27T00:00:00.000","AAA Rents and Events","Checks","288",
"2016","Arleta","2015-07-20T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"9250"
"2016","Arleta","2015-07-20T00:00:00.000","CHECKING TRANSFER 4524","Electronic debits","300",
"2016","Arleta","2015-07-20T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic Credits",,"300"
"2016","Arleta","2015-07-17T00:00:00.000","CONTINUED OVERDRAFT FEE","Other Debits and Adjustments","7",
"2016","Arleta","2015-07-16T00:00:00.000","CONTINUED OVERDRAFT FEE","Other Debits and Adjustments","7",
"2016","Arleta","2015-07-14T00:00:00.000","TOTAL OVERDRAFT ITEM RETURNED FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-07-14T00:00:00.000","OVERDRAFT ITEM RETURNED","Other credits and adjustments",,"18.17"
"2016","Arleta","2015-07-13T00:00:00.000","TOTAL OVERDRAFT ITEM PAID FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-07-13T00:00:00.000","Aaron DeVandry","Checks","18.17",
"2016","Arleta","2015-07-10T00:00:00.000","Miller Gasket Co.","Checks","300",
"2016","Arleta","2015-07-07T00:00:00.000","OVERDRAFT ITEM RETURNED","Other credits and adjustments",,"1500"
"2016","Arleta","2015-07-07T00:00:00.000","TOTAL OVERDRAFT ITEM RETURNED FEES","Other Debits and Adjustments","33",
"2016","Arleta","2015-07-06T00:00:00.000","UB CHECKING TRANSFER 2746","Electronic debits","10",
"2016","Arleta","2015-07-06T00:00:00.000","PIP Printing and Marketing","Checks","1500",
"2016","Arleta","2015-07-06T00:00:00.000","CHECKING TRANSFER 4524","Electronic Credits",,"10"
"2016","Arleta","2015-07-03T00:00:00.000","John Hernandez","Checks","44.42",
"2016","Arroyo Seco","2016-06-29T00:00:00.000","CULTURAL HERITAGE FOUNDATION","Checks","500",
"2016","Arroyo Seco","2016-06-28T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","153.68",
"2016","Arroyo Seco","2016-06-28T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","130",
"2016","Arroyo Seco","2016-06-27T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-06-21T00:00:00.000","ANTIOCH MENTOR P ONLINE PMT WEB UN1933351159POS","Electronic debits","2500",
"2016","Arroyo Seco","2016-06-16T00:00:00.000","BEST BUY M LOS ANGELES CA LOS ANGELES CA","Electronic Credits",,"192.92"
"2016","Arroyo Seco","2016-06-13T00:00:00.000","WORLD OF I LOS ANGELES CA LOS ANGELES CA","Electronic debits","850",
"2016","Arroyo Seco","2016-06-13T00:00:00.000","WORLD OF I LOS ANGELES CA LOS ANGELES CA","Electronic debits","600",
"2016","Arroyo Seco","2016-06-13T00:00:00.000","129SUPERIO LOS ANGELES CA LOS ANGELES CA","Electronic debits","55.65",
"2016","Arroyo Seco","2016-06-13T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","98.04",
"2016","Arroyo Seco","2016-06-07T00:00:00.000","FOOD4LESS LOS ANGELES CA LOS ANGELES CA","Electronic debits","63.01",
"2016","Arroyo Seco","2016-06-06T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","54.5",
"2016","Arroyo Seco","2016-05-31T00:00:00.000","ORIENTAL T 800-228-0475 NE 800-228-0475 NE","Electronic debits","98.06",
"2016","Arroyo Seco","2016-05-27T00:00:00.000","STAPLES GLENDALE CA GLENDALE CA","Electronic debits","112.25",
"2016","Arroyo Seco","2016-05-27T00:00:00.000","BESTBUYCOM 888-237289 MN 888-237289 MN","Electronic debits","192.92",
"2016","Arroyo Seco","2016-05-27T00:00:00.000","BESTBUYCOM 888-237289 MN 888-237289 MN","Electronic debits","192.92",
"2016","Arroyo Seco","2016-05-27T00:00:00.000","PARTY ON R 323-2551393 CA 323-2551393 CA","Electronic debits","461.6",
"2016","Arroyo Seco","2016-05-24T00:00:00.000","4IMPRINT 877-4467746 WI 877-4467746 WI","Electronic debits","506.87",
"2016","Arroyo Seco","2016-05-24T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","265.96",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","148.99",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","78.26",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","YV PRINT 03234780699 CA 03234780699 CA","Electronic debits","400",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","HAPPY TACO PICO RIVERA CA PICO RIVERA CA","Electronic debits","660",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","OFFICE DEP 800-463-3768 CA 800-463-3768 CA","Electronic debits","232.69",
"2016","Arroyo Seco","2016-05-23T00:00:00.000","MARTHA BENEDICT ONLINE PMT WEB UN1933351159POS","Electronic debits","674.08",
"2016","Arroyo Seco","2016-05-20T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","130.8",
"2016","Arroyo Seco","2016-05-19T00:00:00.000","K & J SPEE NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","305.2",
"2016","Arroyo Seco","2016-05-16T00:00:00.000","PATRICK BOTZ","Checks","56.98",
"2016","Arroyo Seco","2016-05-16T00:00:00.000","USPS.COM E AE DC AE DC","Electronic debits","558.8",
"2016","Arroyo Seco","2016-05-16T00:00:00.000","USPS.COM E AE DC AE DC","Electronic debits","482.06",
"2016","Arroyo Seco","2016-05-13T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","95.38",
"2016","Arroyo Seco","2016-05-13T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","22.84",
"2016","Arroyo Seco","2016-05-13T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","88.3",
"2016","Arroyo Seco","2016-05-09T00:00:00.000","TERESA BONSELL","Checks","102.08",
"2016","Arroyo Seco","2016-05-03T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","146.06",
"2016","Arroyo Seco","2016-05-03T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-05-02T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","100.65",
"2016","Arroyo Seco","2016-05-02T00:00:00.000","SMARTNFINA LINCOLN HEIG CA LINCOLN HEIG CA","Electronic debits","262.42",
"2016","Arroyo Seco","2016-04-22T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","103.43",
"2016","Arroyo Seco","2016-04-22T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","19.02",
"2016","Arroyo Seco","2016-04-21T00:00:00.000","TARGET.COM 800-591-3869 MN 800-591-3869 MN","Electronic debits","45.93",
"2016","Arroyo Seco","2016-04-21T00:00:00.000","TARGET.COM 800-591-3869 MN 800-591-3869 MN","Electronic debits","22.84",
"2016","Arroyo Seco","2016-04-19T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","361.57",
"2016","Arroyo Seco","2016-04-19T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","96.85",
"2016","Arroyo Seco","2016-04-14T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","79.85",
"2016","Arroyo Seco","2016-04-13T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","77.92",
"2016","Arroyo Seco","2016-04-11T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-04-11T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"10250"
"2016","Arroyo Seco","2016-04-01T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","650.25",
"2016","Arroyo Seco","2016-03-31T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-03-30T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","98.37",
"2016","Arroyo Seco","2016-03-29T00:00:00.000","THE HOME D LOS ANGELES CA LOS ANGELES CA","Electronic Credits",,"55.3"
"2016","Arroyo Seco","2016-03-28T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","203.31",
"2016","Arroyo Seco","2016-03-28T00:00:00.000","MT.WASHINGTON JE ONLINE PMT WEB UN1933351159POS","Electronic debits","500",
"2016","Arroyo Seco","2016-03-21T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","308.06",
"2016","Arroyo Seco","2016-03-18T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","102.5",
"2016","Arroyo Seco","2016-03-16T00:00:00.000","K & J SPEE NORTH HOLLYW CA NORTH HOLLYW CA","Electronic debits","272.5",
"2016","Arroyo Seco","2016-03-14T00:00:00.000","USPS.COM E AE DC AE DC","Electronic debits","153.72",
"2016","Arroyo Seco","2016-03-14T00:00:00.000","USPS.COM E AE DC AE DC","Electronic debits","294.45",
"2016","Arroyo Seco","2016-03-14T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","138.46",
"2016","Arroyo Seco","2016-03-11T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","297.01",
"2016","Arroyo Seco","2016-03-10T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","220.61",
"2016","Arroyo Seco","2016-03-08T00:00:00.000","MONTECITO HEIGHTS RECREATION CENTER","Checks","1045",
"2016","Arroyo Seco","2016-03-07T00:00:00.000","LUMMIS DAY COMMUNITY FOUNDATION","Checks","2000",
"2016","Arroyo Seco","2016-03-07T00:00:00.000","DISCOUNTMU 08005691980 FL 08005691980 FL","Electronic debits","505",
"2016","Arroyo Seco","2016-03-04T00:00:00.000","PP*GLASSST 04029352244 CA 04029352244 CA","Electronic debits","450",
"2016","Arroyo Seco","2016-03-04T00:00:00.000","YV PRINT LOS ANGELES CA LOS ANGELES CA","Electronic debits","320.45",
"2016","Arroyo Seco","2016-03-04T00:00:00.000","YV PRINT LOS ANGELES CA LOS ANGELES CA","Electronic debits","154.45",
"2016","Arroyo Seco","2016-03-01T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","488.01",
"2016","Arroyo Seco","2016-03-01T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","268.92",
"2016","Arroyo Seco","2016-03-01T00:00:00.000","HOLIDAYGOO 03103261704 CA 03103261704 CA","Electronic debits","285.5",
"2016","Arroyo Seco","2016-02-29T00:00:00.000","HOMEDEPOT. 800-430-3376 GA 800-430-3376 GA","Electronic debits","24.19",
"2016","Arroyo Seco","2016-02-29T00:00:00.000","THE HOME D LOS ANGELES CA LOS ANGELES CA","Electronic debits","55.3",
"2016","Arroyo Seco","2016-02-26T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-02-23T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","69.76",
"2016","Arroyo Seco","2016-02-23T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","370.98",
"2016","Arroyo Seco","2016-02-23T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","47.6",
"2016","Arroyo Seco","2016-02-22T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","222.57",
"2016","Arroyo Seco","2016-02-18T00:00:00.000","O AND H JU LOS ANGELES CA LOS ANGELES CA","Electronic debits","210",
"2016","Arroyo Seco","2016-02-17T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","181.58",
"2016","Arroyo Seco","2016-02-17T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","153.69",
"2016","Arroyo Seco","2016-02-16T00:00:00.000","FOOD 4 LES 5100 N.FIGUEROA LOS ANGELES CA","Electronic debits","38",
"2016","Arroyo Seco","2016-02-16T00:00:00.000","AMAZON MKT AMZN.COM/BIL WA AMZN.COM/BIL WA","Electronic debits","30.44",
"2016","Arroyo Seco","2016-02-12T00:00:00.000","4IMPRINT 877-4467746 WI 877-4467746 WI","Electronic debits","197.98",
"2016","Arroyo Seco","2016-02-10T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","159.9",
"2016","Arroyo Seco","2016-02-09T00:00:00.000","OFFICE DEP 800-463-3768 CA 800-463-3768 CA","Electronic debits","56.66",
"2016","Arroyo Seco","2016-01-27T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","38.05",
"2016","Arroyo Seco","2016-01-27T00:00:00.000","SMARTNFINA HIGHLAND PAR CA HIGHLAND PAR CA","Electronic debits","138.66",
"2016","Arroyo Seco","2016-01-26T00:00:00.000","QUICKR PRI LOS ANGELES CA LOS ANGELES CA","Electronic debits","305.87",
"2016","Arroyo Seco","2016-01-25T00:00:00.000","MY TACO 03232562698 CA 03232562698 CA","Electronic debits","163.22",
"2016","Arroyo Seco","2016-01-25T00:00:00.000","Martha Benedict","Checks","81.77",
"2016","Arroyo Seco","2016-01-20T00:00:00.000","STORQUEST- 800-784-9176 CA 800-784-9176 CA","Electronic debits","224",
"2016","Arroyo Seco","2016-01-19T00:00:00.000","BESTBUYCOM 888-237289 MN 888-237289 MN","Electronic debits","226.18",
"2016","Arroyo Seco","2016-01-15T00:00:00.000","THE HOME D LOS ANGELES CA LOS ANGELES CA","Electronic debits","98.07",
"2016","Arroyo Seco","2016-01-05T00:00:00.000","CITY OF LOS ANGE EFT PAYMT PPD ***********0735","Electronic Credits",,"11250"
"2016","Arroyo Seco","2015-12-23T00:00:00.000","Montecito Height PMT REFUND PPD ***********1159","Electronic Credits",,"990"
"2016","Arroyo Seco","2015-12-16T00:00:00.000","TARGET LOS ANGELES CA LOS ANGELES CA","Electronic debits","235.16",
"2016","Arroyo Seco","2015-12-16T00:00:00.000","TARGET LOS ANGELES CA LOS ANGELES CA","Electronic debits","12.09",
