"the_geom","objectid","fname","ftype","uspsabbr","leftadd1","leftadd2","rgtadd1","rgtadd2","zipcolef","zipcorgt","nametype","t_leftadd1","t_leftadd2","t_rgtadd1","t_rgtadd2","grid","suffabbr","namecaps","annotext","roadclass","truckroute","honorary","idotstreet","speedlimit","location","ownership","created_date","last_edited_date","shape_stlength","engstreetclass"
"MULTILINESTRING ((-87.682785472976 42.023004650451, -87.683514841329 42.023011334073, -87.684387645728 42.023020223633, -87.684572193809 42.02302211757, -87.685034022278 42.023027032074))","1467","Mulford","Street","St","806","830","803","839","60202","60202","Mulford Street","800","898","801","899","300","ST","MULFORD","MULFORD ST","Local Street",,,"No","25","806-839 MULFORD ST","City of Evanston",,"2022-03-21T15:43:48.000Z","611.04032243857762","Local street"
"MULTILINESTRING ((-87.691995442022 42.047138746402, -87.692175491745 42.047144609546, -87.692333401141 42.047144476236, -87.692817878501 42.047151544245, -87.692908582765 42.047152818777, -87.693244123032 42.047157462206, -87.69355192543 42.047152564981, -87.693639968931 42.047151162259))","245","Davis","Street","St","1414","1420","1401","1425","60201","60201","Davis Street","1400","1498","1401","1499","1600","ST","DAVIS","DAVIS ST","Local Street",,,"No","25","1414-1425 DAVIS ST","City of Evanston",,"2022-03-21T15:43:44.000Z","446.80508504945982","Local street"
"MULTILINESTRING ((-87.691116794819 42.041272589044, -87.691201297982 42.04127100372, -87.691485331106 42.041265732035, -87.692091532039 42.041255591712))","729","Dempster","Street","St","1402","1414","1401","1411","60202","60201","Dempster Street","1400","1412","1401","1411","1300","ST","DEMPSTER","DEMPSTER ST","Main Road","Truck Routes",,"Yes","30","1402-1411 DEMPSTER ST","City of Evanston",,"2022-03-21T15:45:36.000Z","264.856547478214","Major street"
"MULTILINESTRING ((-87.712973028069 42.057332058387, -87.712960103016 42.05796388724))","837","Ewing","Avenue","Ave","2202","2218","0","0","60201","60201","Ewing Avenue","2200","2218","2201","2219","2800","AVE","EWING","EWING AVE","Local Street",,,"No","25","2202-2218 EWING AVE","City of Evanston",,"2022-03-21T15:43:45.000Z","230.27735125278821","Local street"
"MULTILINESTRING ((-87.696001024906 42.042799037566, -87.696338276457 42.042795942864, -87.696456817899 42.042792374688))","989","Greenwood","Street","St","1702","1704","1623","1627","60201","60201","Greenwood Street","1700","1706","1621","1699","1400","ST","GREENWOOD","GREENWOOD ST","Local Street",,,"No","25","1702-1627 GREENWOOD ST","City of Evanston",,"2022-03-21T15:43:45.000Z","123.84469736993124","Local street"
"MULTILINESTRING ((-87.711106110007 42.053318242103, -87.711513978396 42.053506501978, -87.71203057844 42.053752161883, -87.712530717468 42.053989696873, -87.71283434651 42.054134033759))","158","Elgin","Road","Rd","0","0","2711","2731","60203","60201","Elgin Road","2700","2798","2701","2799","0","RD","ELGIN","ELGIN RD","Main Road","Truck Routes",,"Yes","35","2711-2731 ELGIN RD","City of Evanston",,"2022-03-21T15:45:36.000Z","555.61258947832005","Major street"
"MULTILINESTRING ((-87.695742197672 42.055701854911, -87.695740303391 42.055828652218, -87.69573448065 42.056186211901, -87.695735256221 42.056428937516, -87.695726061564 42.056659752943, -87.695718466495 42.056933111784, -87.695717529184 42.056982638732))","765","Dewey","Avenue","Ave","2108","2126","2111","2127","60201","60201","Dewey Avenue","2100","2126","2101","2127","1700","AVE","DEWEY","DEWEY AVE","Local Street",,,"No","25","2108-2127 DEWEY AVE","City of Evanston",,"2022-03-21T15:43:44.000Z","466.81594203708715","Local street"
"MULTILINESTRING ((-87.684188871646 42.026605630884, -87.684559057781 42.026609233194, -87.685218453819 42.026616937484, -87.685336817952 42.02662430157, -87.68545664489 42.026650718382))","1512","Oakton","Street","St","900","910","0","0","60202","60202","Oakton Street","900","998","901","999","500","ST","OAKTON","OAKTON ST","Main Road",,,"No","25","900-910 OAKTON ST","City of Evanston",,"2022-03-21T15:45:37.000Z","346.0011976614831","Major street"
"MULTILINESTRING ((-87.704112606444 42.030120157577, -87.704151921963 42.030138265132, -87.704214288366 42.030144205109, -87.70437330033 42.030143704478, -87.704912376941 42.030132634478, -87.705421907008 42.03012430914, -87.705534202076 42.030124676433, -87.705573850262 42.03012771979, -87.705596105698 42.030136513108))","623","Cleveland","Street","St","2224","2224","2205","2233","60202","60202","Cleveland Street","2200","2298","2201","2299","0","ST","CLEVELAND","CLEVELAND ST","Local Street",,,"No","25","2224-2233 CLEVELAND ST","City of Evanston",,"2022-03-21T15:43:44.000Z","406.01163491071674","Local street"
"MULTILINESTRING ((-87.685547771436 42.064203149198, -87.685539689413 42.064371457774, -87.685512932949 42.065202979138, -87.685501535048 42.065748124327, -87.6854829641 42.066622034057, -87.68547984075 42.066864023763, -87.685491215308 42.066915266527))","20","Girard","Avenue","Ave","0","0","0","0","60201","60201","Girard Avenue","2600","2698","2601","2699","1100","AVE","GIRARD","GIRARD AVE","Local Street",,,"No","25","2607-2607","City of Evanston",,"2022-03-21T15:43:45.000Z","988.80017565674007","Local street"
"MULTILINESTRING ((-87.720213084285 42.056607154102, -87.720207627894 42.057174398756, -87.720192176814 42.057754734507))","201","Lawndale","Avenue","Ave","0","0","0","0","60201","60201","Lawndale Avenue","2132","2198","2133","2199","3100","AVE","LAWNDALE","LAWNDALE AVE","Local Street",,,"No","25",,"City of Evanston",,"2022-03-21T15:43:48.000Z","418.24697818481684","Local street"
"MULTILINESTRING ((-87.681650531916 42.05843785841, -87.681650369499 42.05875626262, -87.681645271441 42.05903877259, -87.681643047556 42.05929948278, -87.681642869787 42.059338476309))","1776","Sherman","Avenue","Ave","2228","2260","2233","2253","60201","60201","Sherman Avenue","2228","2298","2229","2299","800","AVE","SHERMAN","SHERMAN AVE","Local Street","Truck Routes",,"No","25","2228-2253 SHERMAN AVE","City of Evanston",,"2022-03-21T16:17:59.000Z","328.21499124227739","Major street"
"MULTILINESTRING ((-87.699529598022 42.023020806912, -87.699800573437 42.02302136985, -87.7000136892 42.023026168254, -87.700216077478 42.023040182421, -87.700406215717 42.023053662172, -87.700528524539 42.0230561477, -87.700700042326 42.023054595966, -87.70086429897 42.023046719794, -87.701010843386 42.023039843485, -87.701273727099 42.023032482571, -87.701652833153 42.023025294212, -87.702044982729 42.023016557274, -87.702383498413 42.023009006042, -87.702575207913 42.023008769936, -87.702708752942 42.023013839532, -87.702938092021 42.023034253698, -87.703139911077 42.023053802827, -87.703289372479 42.023057120532, -87.70349693583 42.02305773828, -87.703688389802 42.023053574735, -87.703822251399 42.02304522573, -87.703962797506 42.023034525785, -87.704289022747 42.022985711396))","121","Mulford","Street","St","0","0","0","0","60202","60202","Mulford Street","1900","2198","1901","2199","300","ST","MULFORD","MULFORD ST","Local Street",,"Lionel & Irma Carter Drive","No","25",,"City of Evanston",,"2022-03-21T15:43:48.000Z","1297.1881334161599","Local street"
"MULTILINESTRING ((-87.670632126022 42.033822231157, -87.670671717857 42.033848474509, -87.670709677518 42.033861755926, -87.670816721145 42.033865090587, -87.671276305841 42.03387375223, -87.671287310596 42.033873870591, -87.671916776499 42.03388194526))","1714","Sheridan","Road","Rd","864","872","0","0","60202","60202","Sheridan Road","852","898","853","899","900","RD","SHERIDAN","SHERIDAN RD","Main Road","Truck Prohibited",,"No","25","864-872 SHERIDAN RD","City of Evanston",,"2022-03-21T15:45:37.000Z","353.81891801336815","Major street"
"MULTILINESTRING ((-87.688741046894 42.052203809403, -87.689048956344 42.052245411058, -87.689364907621 42.05225275494, -87.689496912869 42.052255828082, -87.689618578999 42.052254534742, -87.690074017238 42.052249651591))","815","Emerson","Street","St","1228","1228","1229","1241","60201","60201","Emerson Street","1228","1298","1229","1299","1900","ST","EMERSON","EMERSON ST","Main Road","Truck Routes","Hecky Powell Way","No","30","1228-1241 EMERSON ST","City of Evanston",,"2022-03-21T15:45:36.000Z","363.47283178843094","Major street"
"MULTILINESTRING ((-87.690869357723 42.055790511751, -87.691068650215 42.055785672366, -87.691173360984 42.055783102511, -87.691258882498 42.055781028923, -87.691315639098 42.055779645054, -87.691406206312 42.055777462373, -87.69162597695 42.0557721054))","151","Simpson","Street","St","0","0","0","0","60201","60201","Simpson Street","1400","1426","1401","1427","2100","ST","SIMPSON","SIMPSON ST","Local Street",,,"No","25",,"City of Evanston",,"2022-03-21T15:43:50.000Z","205.59559460003067","Local street"
"MULTILINESTRING ((-87.670498025611 42.039160956833, -87.670460454737 42.039262274165, -87.67042361876 42.039409752678, -87.670395129873 42.0395899899, -87.670382454961 42.03974691068, -87.670375455372 42.039903233077, -87.670383612374 42.040071168532, -87.670411946177 42.040217541577, -87.670453613002 42.040303071041))","163","Lake Shore","Boulevard","Blvd","1212","1214","0","0","60202","60202","Lake Shore Boulevard","1200","1228","1201","1229","100","BLVD","LAKE SHORE","LAKE SHORE BLVD","Local Street",,,"No","20","1212-1214 LAKE SHORE BLVD","City of Evanston",,"2022-03-21T15:43:48.000Z","421.69117507375893","Local street"
"MULTILINESTRING ((-87.693651973251 42.046332588841, -87.693650717338 42.046406399977, -87.693639968931 42.047151162259))","426","Ashland","Avenue","Ave","1570","1580","1575","1583","60201","60201","Ashland Avenue","1566","1598","1565","1599","0","AVE","ASHLAND","ASHLAND AVE","Local Street",,,"No","25","1570-1583 ASHLAND AVE","City of Evanston",,"2022-03-21T15:43:43.000Z","298.32182348353666","Local street"
"MULTILINESTRING ((-87.681696780829 42.055077509234, -87.681691977968 42.055525713662, -87.681690006224 42.055621336566))","1957","Sherman","Avenue","Ave","2034","2044","2039","2043","60201","60201","Sherman Avenue","2036","2046","2035","2047","800","AVE","SHERMAN","SHERMAN AVE","Local Street","Truck Routes",,"No","25","2034-2043 SHERMAN AVE","City of Evanston",,"2022-03-21T16:17:59.000Z","198.19105691531098","Major street"
"MULTILINESTRING ((-87.707082109646 42.03464104526, -87.707218219626 42.034638577143, -87.708042267784 42.034621061132, -87.708106661576 42.034619683093, -87.708626738421 42.034613020092))","101","Bradley","Place","Pl","2400","2428","2401","2421","60202","60202","Bradley Place","2400","2498","2401","2499","0","PL","BRADLEY","BRADLEY PL","Local Street",,,"No","25","2400-2421 BRADLEY PL","City of Evanston",,"2022-03-21T15:43:43.000Z","419.76585851750752","Local street"
"MULTILINESTRING ((-87.690269468232 42.041289660871, -87.690264180195 42.041636563028))","13143","Asbury","Avenue","Ave","1302","1308","0","0","60201","60201","Asbury Avenue","1300","1308","1301","1309","1300","AVE","ASBURY","ASBURY AVE","Main Road",,,"No","30","1302-1308 ASBURY AVE","City of Evanston","2015-05-06T16:08:43.000Z","2022-03-21T15:45:36.000Z","126.42593509269567","Major street"
"MULTILINESTRING ((-87.689518479012 42.057225960096, -87.689509295721 42.057482570161))","405","Asbury","Avenue","Ave","2142","2144","0","0","60201","60201","Asbury Avenue","2142","2144","2143","2145","1300","AVE","ASBURY","ASBURY AVE","Local Street",,,"No","25","2142-2144 ASBURY AVE","City of Evanston",,"2022-03-21T15:43:43.000Z","93.547127160592169","Local street"
"MULTILINESTRING ((-87.715679582456 42.055310595594, -87.715708986185 42.055316132398, -87.715830211486 42.05533429248, -87.715944743356 42.055351620619, -87.716049311049 42.055363653696, -87.716105713341 42.055368347707))","809","Simpson","Street","St","0","0","0","0","60203","60203","Simpson Street","0","0","0","0","2100","ST","SIMPSON","SIMPSON ST","Main Road","Truck Routes",,"Yes","35",,"City of Evanston",,"2022-03-21T15:45:37.000Z","117.70687026899134","Major street"
"MULTILINESTRING ((-87.701919730247 42.021105808873, -87.702233688329 42.021098315067, -87.702798730928 42.021088632525, -87.703088141654 42.021081166184))","494","Brummel","Street","St","2100","2122","2107","2121","60202","60202","Brummel Street","2100","2128","2101","2127","200","ST","BRUMMEL","BRUMMEL ST","Local Street",,,"No","25","2100-2121 BRUMMEL ST","City of Evanston",,"2022-03-21T15:43:43.000Z","317.62609861719358","Local street"
"MULTILINESTRING ((-87.684468788917 42.061858809834, -87.684455722823 42.061890677991, -87.684439030864 42.061931444168, -87.684392239532 42.062045803188, -87.684270623447 42.062340442008, -87.684068421807 42.062838406157, -87.684043645208 42.062899131459))","1672","Ridge","Avenue","Ave","0","0","2437","2441","60201","60201","Ridge Avenue","2406","2498","2407","2499","0","AVE","RIDGE","RIDGE AVE","Main Road","Truck Prohibited",,"No","30","2437-2441 RIDGE AVE","City of Evanston",,"2022-03-21T15:45:37.000Z","396.30468220342345","Major street"
"MULTILINESTRING ((-87.692401350589 42.028558245606, -87.692397639682 42.028748121927, -87.692387566207 42.029007115968))","1898","Wesley","Avenue","Ave","606","606","611","611","60202","60202","Wesley Avenue","600","614","601","615","0","AVE","WESLEY","WESLEY AVE","Local Street",,,"No","25","606-611 WESLEY AVE","City of Evanston",,"2022-03-21T15:43:51.000Z","163.62355908292105","Local street"
"MULTILINESTRING ((-87.712925253703 42.062084938023, -87.712927625114 42.062673546166, -87.712928567504 42.06290205762, -87.712935977095 42.063253075962))","204","Ewing","Avenue","Ave","0","0","0","0","60201","60201","Ewing Avenue","2432","2498","2433","2499","2800","AVE","EWING","EWING AVE","Local Street",,,"No","25",,"City of Evanston",,"2022-03-21T15:43:45.000Z","425.70950913612518","Local street"
"MULTILINESTRING ((-87.707814796217 42.06899569572, -87.708074315015 42.068998157862))","186","Isabella","Street","St","0","0","0","0","60201","60091","Isabella Street","2600","2600","2601","2601","2800","ST","ISABELLA","ISABELLA ST","Main Road",,,"No","25",,"City of Evanston",,"2022-03-21T15:46:40.000Z","70.4722846591348","Collector street"
"MULTILINESTRING ((-87.710812193486 42.055453831976, -87.710831122104 42.055453605346))","1973","Simpson","Street","St","0","0","0","0","0","60201","Simpson Street","0","0","0","0","2100","ST","SIMPSON","SIMPSON ST","Local Street",,,"No","25","SIMPSON ST","City of Evanston",,"2022-03-21T15:43:50.000Z","5.1414005873886151","Local street"
"MULTILINESTRING ((-87.703409960312 42.063369511901, -87.703583911319 42.063371207473, -87.704031229163 42.063376158344, -87.704045740136 42.063376018379))","1046","Harrison","Street","St","2200","2204","0","0","60201","60201","Harrison Street","2200","2204","2201","2205","0","ST","HARRISON","HARRISON ST","Local Street",,,"No","25","2200-2204 HARRISON ST","City of Evanston",,"2022-03-21T15:43:46.000Z","172.66499201678454","Local street"
"MULTILINESTRING ((-87.684708358859 42.053932415419, -87.68470349177 42.054211716411, -87.684696141862 42.054543224803, -87.68468649343 42.05498119375, -87.684683757955 42.055108891681))","1393","Maple","Avenue","Ave","2000","2030","2001","2029","60201","60201","Maple Avenue","2000","2030","2001","2031","1000","AVE","MAPLE","MAPLE AVE","Local Street",,,"No","25","2000-2029 MAPLE AVE","City of Evanston",,"2022-03-21T15:43:48.000Z","428.7841743415791","Local street"
"MULTILINESTRING ((-87.699352178009 42.031617611029, -87.699345751901 42.031916086982, -87.699343572704 42.032046478176))","307","Dodge","Avenue","Ave","760","770","747","751","60202","60202","Dodge Avenue","760","798","747","799","1900","AVE","DODGE","DODGE AVE","Main Road","Truck Routes",,"No","25","760-751 DODGE AVE","City of Evanston",,"2022-03-21T15:45:36.000Z","156.30466738927294","Major street"
"MULTILINESTRING ((-87.689502813714 42.057726928959, -87.689498333323 42.057944461062, -87.689497780697 42.057970006118, -87.689497003287 42.058039676052, -87.689494449613 42.058266960729, -87.689489972167 42.058440449018))","407","Asbury","Avenue","Ave","2204","2210","2211","2213","60201","60201","Asbury Avenue","2200","2212","2201","2213","1300","AVE","ASBURY","ASBURY AVE","Local Street",,,"No","25","2204-2213 ASBURY AVE","City of Evanston",,"2022-03-21T15:43:43.000Z","260.04713552238974","Local street"
"MULTILINESTRING ((-87.708080846579 42.063293053883, -87.708070816616 42.063838620819, -87.708070726751 42.063844026327, -87.708057055353 42.064411636424))","1433","McDaniel","Avenue","Ave","2536","2536","0","0","60201","60201","McDaniel Avenue","2512","2598","2513","2599","2500","AVE","MCDANIEL","MCDANIEL AVE","Main Road",,,"No","25","2536-2536 MCDANIEL AVE","City of Evanston",,"2022-03-21T15:58:01.000Z","407.68577915384071","Collector street"
"MULTILINESTRING ((-87.707869487444 42.065508031598, -87.707863997959 42.066048518912, -87.707863086006 42.066137671702, -87.707850783097 42.066696919318))","1435","McDaniel","Avenue","Ave","2646","2646","0","0","60201","60201","McDaniel Avenue","2622","2698","2623","2699","2500","AVE","MCDANIEL","MCDANIEL AVE","Main Road",,,"No","25","2646-2646 MCDANIEL AVE","City of Evanston",,"2022-03-21T15:58:01.000Z","433.28840360069074","Collector street"
"MULTILINESTRING ((-87.681897356997 42.045473627528, -87.68220476318 42.045546473325, -87.682285274728 42.045557796964))","14376","Grove","Street","St","0","0","0","0","60201","60201","Grove Street","700","798","701","799","0","ST","GROVE","GROVE ST","Local Street",,,"No","25",,"City of Evanston","2018-09-25T20:14:12.000Z","2022-03-21T16:12:43.000Z","109.87374220682324","Collector street"
"MULTILINESTRING ((-87.692055460752 42.044242364587, -87.692053120426 42.04435793593, -87.69203957392 42.044921540062))","1913","Wesley","Avenue","Ave","1456","1462","0","0","60201","60201","Wesley Avenue","1440","1498","1441","1499","1400","AVE","WESLEY","WESLEY AVE","Local Street",,,"No","25","1456-1462 WESLEY AVE","City of Evanston",,"2022-03-21T15:43:51.000Z","247.54236271571787","Local street"
"MULTILINESTRING ((-87.680339383241 42.029821100277, -87.681803115948 42.029836223915, -87.682256053998 42.029840687566))","106","Reba","Place","Pl","702","736","701","737","60202","60202","Reba Place","700","798","701","799","0","PL","REBA","REBA PL","Local Street",,,"No","25","702-737 REBA PL","City of Evanston",,"2022-03-21T15:43:49.000Z","520.79966624750932","Local street"
"MULTILINESTRING ((-87.704045740136 42.063376018379, -87.704276039278 42.06337360376, -87.704973283521 42.063380002919))","1047","Harrison","Street","St","2230","2230","2217","2235","60201","60201","Harrison Street","2206","2298","2207","2299","0","ST","HARRISON","HARRISON ST","Local Street",,,"No","25","2230-2235 HARRISON ST","City of Evanston",,"2022-03-21T15:43:46.000Z","251.89668949111496","Local street"
"MULTILINESTRING ((-87.679719194596 42.053879138442, -87.679685851911 42.05505528932))","1537","Orrington","Avenue","Ave","2004","2030","2001","2027","60201","60201","Orrington Avenue","2000","2034","2001","2033","700","AVE","ORRINGTON","ORRINGTON AVE","Local Street",,,"No","25","2010-2027 ORRINGTON AVE","City of Evanston",,"2022-03-21T15:43:49.000Z","428.70896573316497","Local street"
"MULTILINESTRING ((-87.713041515522 42.054691224539, -87.713037274565 42.054767571749, -87.713029371937 42.054978033984, -87.713015294618 42.055138134841, -87.713012075517 42.055241901781, -87.71300514412 42.05542822059))","834","Ewing","Avenue","Ave","2028","2044","2043","2043","60201","60201","Ewing Avenue","2026","2098","2027","2099","2800","AVE","EWING","EWING AVE","Local Street",,,"No","25","2028-2043 EWING AVE","City of Evanston",,"2022-03-21T15:43:45.000Z","268.79060898182956","Local street"
"MULTILINESTRING ((-87.680295169431 42.032270738494, -87.680285213506 42.032624845001, -87.680291065528 42.032768727915))","693","Custer","Avenue","Ave","800","800","0","0","60202","60202","Custer Avenue","800","820","801","819","700","AVE","CUSTER","CUSTER AVE","Local Street",,"Rick Ferguson Way","No","25","800-800 CUSTER AVE","City of Evanston",,"2022-03-21T16:04:59.000Z","181.52922002422059","Collector street"
"MULTILINESTRING ((-87.699403729876 42.029344784642, -87.699915734694 42.029335015553, -87.700022939115 42.02933267085, -87.700030339038 42.029332492145, -87.700797226931 42.02931561823))","1701","Seward","Street","St","1900","1926","1911","1925","60202","60202","Seward Street","1900","1998","1901","1999","0","ST","SEWARD","SEWARD ST","Local Street","Truck Prohibited",,"No","25","1900-1925 SEWARD ST","City of Evanston",,"2022-03-21T15:43:49.000Z","378.7588576278747","Local street"
"MULTILINESTRING ((-87.684764765206 42.020478198655, -87.684912468003 42.02048004849, -87.685377919851 42.020481496948, -87.68556194712 42.020483221693))","769","Dobson","Street","St","950","962","957","963","60202","60202","Dobson Street","900","998","901","999","0","ST","DOBSON","DOBSON ST","Local Street",,,"No","25","950-963 DOBSON ST","City of Evanston",,"2022-03-21T15:43:44.000Z","216.63306105990628","Local street"
"MULTILINESTRING ((-87.689369397634 42.064243755937, -87.689362091598 42.064372717897, -87.689357635645 42.064471098464, -87.689356317965 42.064667078959, -87.689350448264 42.064956362771, -87.689343618458 42.06512928882, -87.689333750169 42.065314985597))","169","Asbury","Avenue","Ave","0","0","0","0","60201","60201","Asbury Avenue","2600","2634","2601","2635","1300","AVE","ASBURY","ASBURY AVE","Local Street",,,"No","25",,"City of Evanston",,"2022-03-21T15:43:43.000Z","390.53370956652907","Local street"
"MULTILINESTRING ((-87.674945913906 42.026838818063, -87.674944212462 42.027239128799))","1216","Judson","Avenue","Ave","0","0","507","511","60202","60202","Judson Avenue","500","512","501","511","400","AVE","JUDSON","JUDSON AVE","Local Street",,,"No","25","507-511 JUDSON AVE","City of Evanston",,"2022-03-21T15:43:48.000Z","145.88149300031174","Local street"
"MULTILINESTRING ((-87.725661207706 42.057095859992, -87.725650458834 42.057539671793, -87.725639345477 42.057998519652))","1620","Prospect","Avenue","Ave","2200","2200","0","0","60201","60201","Prospect Avenue","2200","2214","2201","2215","3300","AVE","PROSPECT","PROSPECT AVE","Local Street",,,"No","25","2200-2200 PROSPECT AVE","City of Evanston",,"2022-03-21T15:43:49.000Z","328.99969665639668","Local street"
"MULTILINESTRING ((-87.729518220709 42.0670599666, -87.729576122412 42.067133046369, -87.729964634169 42.067622315328))","674","Crawford","Avenue","Ave","0","0","2727","2727","60201","60201","Crawford Avenue","2716","2726","2717","2727","0","AVE","CRAWFORD","CRAWFORD AVE","Main Road","Truck Routes",,"No","30","2727-2727 CRAWFORD AVE","City of Evanston",,"2022-03-21T15:45:36.000Z","238.09671664969443","Major street"
"MULTILINESTRING ((-87.702220389997 42.04267627368, -87.702213676857 42.042878454711, -87.702205455787 42.043236715866, -87.702204462834 42.043281248294, -87.70219684639 42.04363792113, -87.702196711388 42.043644122212, -87.702194636913 42.04374213257, -87.702191276061 42.044156099609))","1007","Grey","Avenue","Ave","1400","1436","1401","1427","60201","60201","Grey Avenue","1400","1498","1401","1499","2100","AVE","GREY","GREY AVE","Local Street",,,"No","25","1400-1427 GREY AVE","City of Evanston",,"2022-03-21T15:43:45.000Z","539.34420535039669","Local street"
"MULTILINESTRING ((-87.686809811991 42.048518013902, -87.687598807793 42.048518915751, -87.687696741668 42.048519055087, -87.687725862037 42.048519301223, -87.688790329886 42.048530991971))","589","Church","Street","St","1100","1136","1101","1121","60201","60201","Church Street","1100","1198","1101","1199","1700","ST","CHURCH","CHURCH ST","Main Road","Truck Routes","Ann Jennett Place","No","25","1100-1121 CHURCH ST","City of Evanston",,"2022-03-21T16:16:30.000Z","537.97184356609455","Collector street"
"MULTILINESTRING ((-87.712609038684 42.065581375323, -87.712606556758 42.066093230141, -87.71260650391 42.066109996675, -87.712607941842 42.066744948225))","843","Ewing","Avenue","Ave","2646","2658","0","0","60201","60201","Ewing Avenue","2622","2698","2623","2699","2800","AVE","EWING","EWING AVE","Local Street",,,"No","25","2646-2658 EWING AVE","City of Evanston",,"2022-03-21T15:43:45.000Z","424.03057238217036","Local street"
