"study_id","study_class","treatment_focus_study","total_n_randomized","outcome_measure","outcome_measure_definition","arm","arm_n_randomized","treatment_name","ncptsd_treatment_name","treatment_focus_arm","treatment_focus_subclass","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharmacologic_biologic","nonpharmacologic_cognitive","control","other","collaborative_care","format","delivery_method","analysis_type","assessment_point_bucket","assessment_point","outcome_measure_score","outcome_measure_comments","military_status","active_duty_military","veteran","community","female_percent","female_percent_detail","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"foa2018_BeckSca_B_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable improvement among participants reporting any baseline suicide ideation","B","110","Spaced PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.56",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_B_Baseline_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","B","110","Spaced PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_C_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","C","110","PCT","Present Centered Therapy (PCT)","PTSD",,"Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.121",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_C_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable worsening","C","110","PCT","Present Centered Therapy (PCT)","PTSD",,"Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.038",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_C_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable improvement among participants reporting any baseline suicide ideation","C","110","PCT","Present Centered Therapy (PCT)","PTSD",,"Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.74",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_C_Baseline_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","C","110","PCT","Present Centered Therapy (PCT)","PTSD",,"Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Baseline",,"0",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_D_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","D","40","Minimal contact","Minimal attention","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Phone","ITT","Assessment at 6 to <12 Months","26","0.086",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_D_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable worsening","D","40","Minimal contact","Minimal attention","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Phone","ITT","Assessment at 6 to <12 Months","26","0.075",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_D_26_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","RCI for BSSI, reliable improvement among participants reporting any baseline suicide ideation","D","40","Minimal contact","Minimal attention","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Phone","ITT","Assessment at 6 to <12 Months","26","0.2",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_BeckSca_D_Baseline_ITT","Psychotherapy","PTSD","370","Beck Scale for Suicide Ideation (suicide ideation and behavior)","Among participants reporting no suicide ideation at baseline, number reporting BSSI > 0 at a subsequent assessment","D","40","Minimal contact","Minimal attention","Control",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","Phone","ITT","Baseline",,"0",,,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_Suicide_A_26_ITT","Psychotherapy","PTSD","370","Suicide attempts",,"A","110","Massed PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0.04","Suicide attempts are entered as suicide outcomes for all time points, and suicide attempts during the treatment period are also entered as suicide harms.",,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_Suicide_B_26_ITT","Psychotherapy","PTSD","370","Suicide attempts",,"B","110","Spaced PE Therapy","Prolonged Exposure (PE)","PTSD",,"Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0","Suicide attempts are entered as suicide outcomes for all time points, and suicide attempts during the treatment period are also entered as suicide harms.",,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"foa2018_Suicide_C_26_ITT","Psychotherapy","PTSD","370","Suicide attempts",,"C","110","PCT","Present Centered Therapy (PCT)","PTSD",,"Yes","Non-TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In person","ITT","Assessment at 6 to <12 Months","26","0","Suicide attempts are entered as suicide outcomes for all time points, and suicide attempts during the treatment period are also entered as suicide harms.",,,,,"0.1202",,"0.8798","Mixed","combat-related, other (not specified)","Medium","Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",,"2020"
"mithoefer2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_0_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","End of Treatment","0","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_4_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Assessment at <3 Months","4","0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive ideation","Score ≥ 1 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0.333","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Serious ideation","Score of 4 or 5 on suicidal ideation","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
"mithoefer2018_Columbia_A_Baseline_ITT","Mixed: Psychotherapy & pharmacotherapy","PTSD","26","Columbia Suicide Severity Rating Scale (C-SSRS): Positive behavior","Score ≥ 1 on suicidal behavior","A","12","MDMA-assisted psychotherapy","MDMA-assisted psychotherapy","PTSD",,"Yes","Non-TF","Yes","Psychostimulant","No","Not Applicable","No","No","No","No","No","Individual","In Person","ITT","Baseline",,"0.083","One participant admitted to hospital for 6 days because of suicidal thoughts. Suicidal ideation was similar across groups.","Mixed","0","0.8462","0.1538","0.2692",,"0.7308","Mixed","combat-related, other (firefighter/police officer)","High","Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",,"2019"
