"study_id","study_class","treatment_focus_study_level","treatment_focus_arm_level","treatment_focus_subclass_arm_level","total_n_randomized","intervention_group","arm_n_randomized","arm_n_randomized_qual","treatment_name","ncptsd_treatment_name","treatment_desc","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","dose","session_length","frequency","treatment_duration_weeks","treatment_duration_qual","def_treatment_completion","percent_completed","completed_psychotherapy_percent_detail","def_treatment_adherence","percent_adhered","adhered_pharmacotherapy_percent_detail","psychotherapy_sessions_mean","psychotherapy_sessions_sd","psychotherapy_sessions_qual","dose_at_study_end_point_mean","dose_at_study_end_point_sd","dose_at_study_end_point_qual","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"ahmadizadeh2019_B","Nonpharmacologic biological","PTSD","Control",,"40","B","20",,"Sham transcranial direct current stimulation","Sham","Ten sham treatment sessions, with scalp electrodes applied to the dorsolateral prefrontal cortex, over 10 consecutive weekdays.  Current ramped up for 30s and then ramped down.","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person",,"20 minute sham treatment","5 days per week","2",,,,,,,,,,,,,,"Community",,,"1","0.65",,"0.35",,,"Medium","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2018_A","Nonpharmacologic biological","PTSD","PTSD",,"65","A","22",,"Bilateral rTMS","Transcranial magnetic stimualtion (TMS)","Stimulation applied to bilateral dorsolateral prefrontal cortex","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person",,"20 Hz for 2 seconds with inter-train interval of 28 seconds. Total train of 30, 1200 pulse per 15-minute session","Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of treatment","0.7273",,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_B","Nonpharmacologic biological","PTSD","PTSD",,"65","B","21",,"Unilateral rTMS","Transcranial magnetic stimualtion (TMS)","Stimulation applied to right dorsolateral prefrontal cortex","No","Not Applicable","No","Not Applicable","No","Not Applicable","Yes","No","No","No","No","Individual","In Person",,"20 Hz for 2 seconds with inter-train interval of 28 seconds. Total train of 60, 2400 pulse per 30-minute session","Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of treatmnt","0.8095",,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_C","Nonpharmacologic biological","PTSD","Control",,"65","C","22",,"Sham rTMS","Sham","Participants received stimulation that induced a contraction of the abductor pollicis brevis muscle, then magnetic coil switched to a sham coil with identical looks and sounds but prevents magnetic energy from plastic shell","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person",,,"Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of sham treatment","0.7273",,,,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadpanah2014_A","Pharmacotherapy","PTSD","PTSD",,"100","A","33",,"Prazosin","Prazosin","Alpha-1 receptor blocker; titrated over 10 days, then maintained at 15 mg for duration of study","No","Not Applicable","Yes","Antiadrenergic","No","Not Applicable","No","No","No","No","No","Individual","In Person","15 mg; titration: increased from 1 mg to 15 mg over first 10 days",,"Once Daily","8",,,,,,,,,,,,,,"Community",,,"1","0.28",,"0.72","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Medium","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.","43996","2019"
"ahmadpanah2014_B","Pharmacotherapy","PTSD","PTSD",,"100","B","34",,"Hydroxyzine","Hydroxyzine","Histamine H-1 blocker; increased from 10 mg over first 10 days to 100 mg, maintained at 100 mg for duration of study","No","Not Applicable","Yes","Antianxiety: nonbenzodiazepine","No","Not Applicable","No","No","No","No","No","Individual","In Person","Initiated at 10 mg, increased to 100 mg",,"Daily","8",,,,,,,,,,,,,,"Community",,,"1","0.28",,"0.72","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Medium","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.","43996","2019"
"ahmadpanah2014_C","Pharmacotherapy","PTSD","Control",,"100","C","33",,"Placebo","Placebo","Identical shape and color to prazosin and hydroxyzine","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person",,,"Daily","8",,,,,,,,,,,,,,"Community",,,"1","0.28",,"0.72","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Medium","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.","43996","2019"
"akbarian2015_A","Mixed: Psychotherapy & pharmacotherapy","PTSD","PTSD",,"40","A","20",,"CBT","Trauma-focused cognitive behavioral therapy (TF-CBT)","Group sessions of CBT for PTSD based on Clark and Beck's method; all patients also received ""SSRIs, neuroleptics, or benzodiazepines""","Yes","TF","Yes","Other pharmacotherapy","No","Not Applicable","No","No","No","No","No","Group","In Person",,"60 to 90 minutes","Weekly","10",,,,,,,,,,,,,,"Community",,,"1","0.7857",,"0.2143","Mixed","intimate partner violence, accidents, illness/medical procedure","Medium","Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.","43629","2019"
"akbarian2015_B","Mixed: Psychotherapy & pharmacotherapy","PTSD","Control",,"40","B","20",,"Control condition (psychopharmacologic treatment only)","Medication as usual","All patients received ""SSRIs, neuroleptics, or benzodiazepines;"" control patients visited treatment center for medical and medication check","No","Not Applicable","Yes","Other pharmacotherapy","No","Not Applicable","No","No","No","No","No","Individual","In Person",,,"Weekly","10",,,,,,,,,,,,,,"Community",,,"1","0.7857",,"0.2143","Mixed","intimate partner violence, accidents, illness/medical procedure","Medium","Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.","43629","2019"
"akuchekian2004_A","Pharmacotherapy","PTSD","PTSD",,"67","A","34",,"Topiramate augmentation","Topiramate augmentation","Anticonvulsant drug; augmentation of participant's existing pharmacotherapy (such as neuroleptics, TCAs, benzodiazepines, SSRIs, sodium valproate, or carbamazepine)","No","Not Applicable","Yes","Mood Stabilizer","No","Not Applicable","No","No","No","No","No","Individual","In Person","12.5 to 500 mg; titration: 12.5 or 25 mg initial dose, increased in increments of 25 to 50 mg every 3 to 4 days until clinical response up to maximum dose of 500 mg",,"Daily","12",,,,,,,,,,,,,,"Veteran",,"1","0","0",,"1","Combat-related",,"Medium","Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.","50403","2019"
"akuchekian2004_B","Pharmacotherapy","PTSD","Control",,"67","B","33",,"Placebo augmentation","Placebo","Identical in appearance to topiramate 50 mg form; augmentation of participant's existing pharmacotherapy (such as neuroleptics, tricyclic antidepressants, benzodiazepines, SSRIs, sodium valproate, or carbamazepine).","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","Titration details NR (Topiramate group started at 12.5 or 25 mg with maximum dose of 500 mg)",,"Daily","12",,,,,,,,,,,,,,"Veteran",,"1","0","0",,"1","Combat-related",,"Medium","Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.","50403","2019"
"aldahadha2012_A","Psychotherapy","PTSD","PTSD",,"51","A","25",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Patient asked to focus on traumatic memory, then therapist queries for salient negative and positive cognitions related to the targeted memory while patients move his/her eyes to the therapist's index finger","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,,"Once every 3 weeks",,"2 to 3 sessions total",,,,,,,,,,,,,"Community",,,"1","0.5294",,"0.4706","Accidents",,"High","Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.","1548482","2019"
"aldahadha2012_B","Psychotherapy","PTSD","Control",,"51","B","26",,"Waitlist","Waitlist",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Community",,,"1","0.5294",,"0.4706","Accidents",,"High","Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.","1548482","2019"
"alghamdi2015_A","Psychotherapy","PTSD","PTSD",,"34","A","17",,"NET","Narrative Exposure Therapy (NET)","Patients narrate their biography and encouraged to relive their trauma-related emotions until habituation was achieved","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"60 to 90 minutes","Every 2-4 days","3",,,,,,,,,,,,,,"Community","0","0","1","0",,"1",,,"Medium","Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.","46524","2020"
"alghamdi2015_B","Psychotherapy","PTSD","Control",,"34","B","17",,"Waitlist","Waitlist",,"No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,"3",,,,,,,,,,,,,,"Community","0","0","1","0",,"1",,,"Medium","Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.","46524","2020"
"ardani2017_A","Pharmacotherapy","PTSD","PTSD",,"36","A","12",,"Rivastigmine augmentation","Rivastigmine augmentation","Acetylcholinesterase inhibitor; augmentation of treatment with citalopram and valproate; randomized following 4-week run-in with citalopram and valproate; rivastigmine 3 mg (total daily dose) for 4 weeks then 6 mg (total daily dose) for 8 weeks.","No","Not Applicable","Yes","Other pharmacotherapy","No","Not Applicable","No","No","No","No","No","Individual","In Person","3 mg (total daily dose 6 mg); titration: 1.5 mg for 4 weeks (total daily dose 3 mg) then 3 mg for 8 weeks (total daily dose 6 mg)",,"Twice Daily","12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"ardani2017_B","Pharmacotherapy","PTSD","Control",,"36","B","12",,"Placebo augmentation","Placebo","Placebo identical to rivastigmine; after 4-week run-in with citalopram and valproate, randomized to placebo for 8 weeks in addition to treatment with citalopram and valproate.","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person",,,,"12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"ardani2017_C","Pharmacotherapy","PTSD","Control",,"36","C","12",,"TAU","Treatment as usual (TAU)","After 4-week run-in with citalopram and valproate, randomized to no additional medications for 8 weeks, and continued routine medications (citalopram and valproate as established in run-in).","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person",,,,"12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Veteran","0","1","0","0",,"1","Combat-related",,"Medium","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"arntz2007_A","Psychotherapy","PTSD","PTSD",,"67","A","28",,"Imaginal Exposure + Imagery Rescripting","Imaginal exposure plus imagery rescripting","Imaginal exposure portion based on program by Foa & Rothbaum (1989) with 60 minutes of imagery work each session; 3 sessions of imaginal exposure only, then 6 sessions focused on identifying and imagining reacting as they wished they had done, until a satisfying response could be used repetitively in imagery.","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","10",,"completed ≥8 sessions","0.75",,,,,,,,,,,"Community",,,"1","0.6567",,"0.3433","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"arntz2007_B","Psychotherapy","PTSD","PTSD",,"67","B","39",,"IE","Imaginal exposure","Based on the program by Foa & Rothbaum (1989) with 60 minutes of imagery exposure, but no in vivo exposure. Homework to listen to audiotaped exposure session 5 days per week and complete Standard Homework Diary Forms, which were reviewed at each therapy session.","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","10",,"completed ≥8 sessions","0.4872",,,,,,,,,,,"Community",,,"1","0.6567",,"0.3433","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"arntz2007_C","Psychotherapy","PTSD","Control",,"67","C","21",,"Waitlist","Waitlist","Waitlist group created when waiting time to treatment increased ""to about 3 months"" at which time participants were informed they would start treatment after waiting period.","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,"10 to 15",,"completed treatment course","0.7619",,,,,,,,,,,"Community",,,"1","0.6567",,"0.3433","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"asukai2010_A","Psychotherapy","PTSD","PTSD",,"24","A","12",,"PE + TAU","Prolonged Exposure (PE)","PE: manualized therapy consisting of psychoeducation, breathing retraining, in vivo exposure, imagery exposure, and processing; 2 introductory sessions and imagery exposure and processing during remaining sessions (6 to maximum of 13 sessions).

TAU: participants continued any treatment received before the study, including supportive counseling and medication; patients were asked to not change medication or dosages for duration of treatment.","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","8 to 15",,,"0.75",,,,,,,,,,,"Community",,,"1","0.875",,"0.125","Mixed","rape/sexual assault, accidents, community/school violence","Medium","Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.","84311","2019"
"asukai2010_B","Psychotherapy","PTSD","Control",,"24","B","12",,"TAU","Treatment as usual (TAU)","TAU while on waitlist; continuation of any treatment received before the study, including supportive counseling and medication; patients were asked to not change medication or dosages for duration of treatment","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No",,,,,,"10",,"completed treatment course","0.9167",,,,,,,,,,,"Community",,,"1","0.875",,"0.125","Mixed","rape/sexual assault, accidents, community/school violence","Medium","Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.","84311","2019"
