"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"acierno2017_PCL_A_26_ITT","Psychotherapy","PTSD","150","A","PTSD",,"68",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 6 to <12 Months","26",,,,,,,,,,,,,"Slope","-1.9",,,,"p<0.0001",,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_Baseline_Comp","Psychotherapy","PTSD","150","A","PTSD",,"55",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_A_Baseline_ITT","Psychotherapy","PTSD","150","A","PTSD",,"68",,"PE delivered in-person","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","76","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Baseline",,,"58.3","11.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_0_Comp","Psychotherapy","PTSD","150","B","PTSD",,"43",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_0_ITT","Psychotherapy","PTSD","150","B","PTSD",,"64",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_12_Comp","Psychotherapy","PTSD","150","B","PTSD",,"43",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 3 to <6 Months","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_12_ITT","Psychotherapy","PTSD","150","B","PTSD",,"64",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 3 to <6 Months","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_26_Comp","Psychotherapy","PTSD","150","B","PTSD",,"43",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 6 to <12 Months","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_26_ITT","Psychotherapy","PTSD","150","B","PTSD",,"64",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Assessment at 6 to <12 Months","26",,,,,,,,,,,,,"Slope","-1.8",,,,"p<0.0001",,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_Baseline_Comp","Psychotherapy","PTSD","150","B","PTSD",,"43",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","Completer","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_PCL_B_Baseline_ITT","Psychotherapy","PTSD","150","B","PTSD",,"64",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","Video","74","Self report","PCL","PCL-M","ITT","Multiple imputation","Mixed effects model; non-inferiority margin (delta) set at 8.8 for PCL and 5 for BDI-II and analyses conducted with per-protocol sample.","Baseline",,,"60.1","11.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Veteran",,"1",,"0.0379",,"0.9621","Combat-related",,"Medium","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"adenauer2011_CAPS_A_16_Comp","Psychotherapy","PTSD","34","A","PTSD",,"11",,"NET","Narrative Exposure Therapy (NET)","Yes","TF","No","Not Applicable","No","Not Applicable","No","No","No","No","No","Individual","In Person","16","Structured Clinical Interview","CAPS","CAPS","Completer",,"Repeated-measures ANOVA with Greenhouse-Geisser's correction of the degrees of freedom as needed; post-hoc Tukey's honest significant difference test; Cohen's d effect sizes","Assessment at 3 to <6 Months","16",,"52.8","18.8",,,,,"-35.2",,,,,"Cohen's d","2.21",,,,"p<0.001",,,,,,,,"Not meeting criteria for PTSD according to CAPS","0.4545",,,,,"Community",,,"1","0.4412",,"0.5588","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
