"county","license_number","operation_type","trade_name","owner_name","street_number","street_name","address_line_2","address_line_3","city","state","zip_code","georeference"
"RENSSELAER","385038","Garden Center","HOOSICK TRUE VALUE","BRADLEY, PHILIP","21953","ROUTE 22",,,"HOOSICK FALLS","NY","12090","POINT (-73.351872 42.915177)"
"NASSAU","281447","Garden Center","FISCHETTI MARIO NURSERY  INC","FISCHETTI MARIO","972","GLEN COVE AVENUE",,,"GLEN HEAD","NY","11545","POINT (-73.626717 40.822806)"
"DUTCHESS","134010","Garden Center","JULIANS DELI AND MARK","GEVARGIS JULIAN",,"RT 9G","PO BOX 1574",,"HYDE PARK","NY","12538","POINT (-73.899329 41.78865)"
"SCHENECTADY","660514","Drug Store","WALGREENS #19091","WALGREEN EASTERN CO INC","1203","EASTERN AVENUE",,,"SCHENECTADY","NY","12308","POINT (-73.914338 42.807462)"
"SARATOGA","417894","Hardware Store","HOME DEPOT THE #1269","HOME DEPOT USA INC","4","HALFMOON CROSSING BOULEVARD",,,"CLIFTON PARK","NY","12065","POINT (-73.767858 42.858199)"
"QUEENS","660805","Other","DOLLAR TREE #07523","DOLLAR TREE STORES INC","13720","CROSSBAY BLVD",,,"OZONE PARK","NY","11417","POINT (-73.843053 40.671251)"
"MADISON","250772","Grocery Store","DERUYTER BIG M","TOM & LAURIE FOWLER","431","ROUTE 13",,,"DERUYTER","NY","13052","POINT (-75.884159 42.763841)"
"SULLIVAN","481017","Hardware Store","LIBERTY TRADING POST INC","LIBERTY TRADING POST INC","1966","ROUTE 52",,,"LIBERTY","NY","12754",
"FULTON","658622","Garden Center","RUNNINGS #38","RUNNING SUPPLY INC","233","5TH AVE EXT",,,"GLOVERSVILLE","NY","12078","POINT (-74.323533 43.059525)"
"MONROE","267566","Dept. Store","TARGET STORE #1157","TARGET CORPORATION","2325","MARKETPLACE DRIVE",,,"ROCHESTER","NY","14623","POINT (-77.630466 43.078021)"
"TOMPKINS","661097","Roadside Stand","AROMABREWS","ERIN SZABO","5646","BOWER ROAD",,,"TRUMANSBURG","NY","14886","POINT (-76.738899 42.516086)"
"QUEENS","658582","Drug Store","CVS PHARMACY # 5830","CVS PHARMACY","108-11","QUEENS BLVD",,,"FOREST HILLS","NY","11375","POINT (-73.843174 40.721318)"
"HERKIMER","661831","Roadside Stand","JAMES GRILLO","JAMES GRILLO","1067","US HWY 20",,,"WEST WINFIELD","NY","13491","POINT (-75.143755 42.888656)"
"SUFFOLK","661876","Garden Center","WAL-MART #8331","WALMART STORES EAST LP","901","BOULEVARD EAST",,,"YAPHANK","NY","11980",
"CLINTON","97864","Drug Store","KPH HEALTHCARE DBA KINNEY DRUGS #40","KPH HEALTHCARE SERVICES INC","6","VETERANS LANE",,,"PLATTSBURGH","NY","12901","POINT (-73.456787 44.708939)"
"QUEENS","656896","Grocery Store","ALDI INC #01","ALDI INC.","61-11","JUNCTION BLVD.",,,"REGO PARK","NY","11374","POINT (-73.863786 40.732663)"
"SUFFOLK","479147","Hardware Store","HOME DEPOT THE #1285","HOME DEPOT USA INC","475","COMMACK ROAD",,,"DEER PARK","NY","11729","POINT (-73.311305 40.765303)"
"ULSTER","660644","Drug Store","RITE AID #10703","WALGREEN EASTERN CO INC","6","SIMMONS PLZ.",,,"SAUGERTIES","NY","12477","POINT (-73.95534 42.057151)"
"NASSAU","659188","Grocery Store","STOP & SHOP SPRMKT #2588","STOP & SHOP SUPERMARKET COMPANY LLC","4055","MERRICK ROAD",,,"SEAFORD","NY","11783","POINT (-73.48368 40.666609)"
"QUEENS","659187","Grocery Store","STOP & SHOP SPRMKT #2589","STOP & SHOP SUPERMARKET COMPANY LLC","92-10","ATLANTIC AVENUE",,,"OZONE PARK","NY","11416","POINT (-73.850357 40.687639)"
"ERIE","661802","Garden Center","ELMA FRESH PRODUCE, MEATS AND GREEHOUSE INC","BRANDON HOUCK, JODY HESKO","3131","TRANSIT RD",,,"ELMA","NY","14059","POINT (-78.696925 42.852662)"
"WESTCHESTER","661059","Landscaper","ROOTS + BOOTS LLC","EUGENA SWART","61","STRATFORD LANE",,,"HASTINGS ON HUDSON","NY","10706","POINT (-73.877111 40.988854)"
"JEFFERSON","662008","Grocery Store","PIGGLY WIGGLY DBA GRAND UNION OF SOUTH WATERTOWN LLC","KEVIN MCNAMARA","1330","WASHINGTON ST",,,"WATERTOWN","NY","13601","POINT (-75.914001 43.957341)"
"BROOME","31955","Dept. Store","WAL-MART #1835","WAL-MART STORES EAST LP","2405","VESTAL PARKWAY EAST",,,"VESTAL","NY","13850","POINT (-76.012374 42.094429)"
"SUFFOLK","471682","Roadside Stand","FRIENDLY FARM OF LI INC","MUSOLINO VINCENT R","333","MIDDLE COUNTRY ROAD",,,"MIDDLE ISLAND","NY","11953","POINT (-72.960094 40.879204)"
"NEW YORK","661057","Grocery Store","7 ELEVEN INC #34764H","JOSEPH M DEPINTO & JAMES SCOTT BAREFIELD","333","EAST 23RD STREET",,,"NEW YORK","NY","10010","POINT (-73.979789 40.737421)"
"GENESEE","661967","Grocery Store","SPEEDWAY #7008","TIMOTHY GRIFFITH","8465","ALLEGHANY RD",,,"CORFU","NY","14036","POINT (-78.405785 43.00275)"
"SUFFOLK","658242","Grocery Store","7 ELEVEN FOOD STORE #35520A","SANTONCITO RICHARD","231","WADING RIVER RD",,,"CENTER MORICHES","NY","11934","POINT (-72.804772 40.820369)"
"ALLEGANY","20146","Grocery Store","GIANT FOOD MART","MIKE BERARDI","44","PARK AVE",,,"WELLSVILLE","NY","14895","POINT (-77.947296 42.120206)"
"NEW YORK","660038","Other","GOPHER BROKE FARM INC","GEORGE NASH AND JANE WATERMAN","300","W 145TH STREET",,,"NEW YORK","NY","10033","POINT (-73.942474 40.823069)"
"KINGS","660301","Floral Shop","WORLD OF FLOWERS","HAK YUL YOO","971","MANHATTAN AVENUE",,,"BROOKLYN","NY","11222","POINT (-73.954635 40.732437)"
"ERIE","140192","Grocery Store","TOPS #0113","ROBERT J BAVISOTTO","425","NIAGARA STREET",,,"BUFFALO","NY","14201","POINT (-78.887157 42.895954)"
"ERIE","660296","Other","SIECK FLORAL DISTRIBUTING, INC.","EDWIN F MICHEL","3257","WALDEN AVENUE",,,"DEPEW","NY","14043","POINT (-78.700045 42.91141)"
"NASSAU","659061","Grocery Store","7 ELEVEN STORE #11175G","7 ELEVEN","83","FRANKLIN AVE",,,"VALLEY STREAM","NY","11580","POINT (-73.682837 40.676684)"
"NASSAU","661754","Grocery Store","7 ELEVEN STORE #38468B","MICHAEL PARK","2663","JERUSALEM AVE",,,"BELLMORE","NY","11710","POINT (-73.533348 40.691492)"
"SCHOHARIE","430053","Other","SCHOHARIE COUNTY  SOIL & CONSERVATION DISTRICT","SCHOHARIE CO SOIL&CONSER DISTRICT","173","SOUTH GRAND STREET","SUITE 3",,"COBLESKILL","NY","12043","POINT (-74.482942 42.674089)"
"NEW YORK","659650","Dept. Store","TJ MAXX STORE #1185","TJX COMPANIES INC","407","EAST 59TH STREET",,,"NEW YORK","NY","10022","POINT (-73.961354 40.759362)"
"QUEENS","656830","Grocery Store","SUPER STOP & SHOP #566","MCGOWAN, MARK","70-20","ROCKAWAY BEACH BLVD.",,,"ARVERNE","NY","11692","POINT (-73.799121 40.589804)"
"SARATOGA","412725","Hardware Store","LOWE'S HOME CTR #1740","LOWES HOME CENTERS, LLC","476","ROUTE 146",,,"HALFMOON","NY","12065","POINT (-73.765301 42.863791)"
"ONONDAGA","661161","Other","BYRNE DAIRY #121 GEDDES","MARK AND CARL BYRNE","590","BRIDGE STREET",,,"SYRACUSE","NY","13209","POINT (-76.213104 43.072443)"
"DELAWARE","660647","Drug Store","WALGREENS #18993","WALGREEN EASTERN CO INC","119","W. MAIN ST.",,,"HANCOCK","NY","13783","POINT (-75.283938 41.954985)"
"QUEENS","659283","Grocery Store","KEY FOOD SUPERMARKET","KEY FOOD CS2, LLC/ SHARON KONZELMAN","35-09","FRANCIS LEWIS BLVD",,,"FLUSHING","NY","11361","POINT (-73.787142 40.763785)"
"WESTCHESTER","551548","Hardware Store","HOME DEPOT THE #8456","HOME DEPOT USA INC","1","SAW MILL RIVER ROAD",,,"HAWTHORNE","NY","10532","POINT (-73.819034 41.084621)"
"SARATOGA","656976","Other","PETCO #1833","PETCO ANIMAL SUPPLIES, INC.","6","HALFMOON CROSSINGS",,,"CLIFTON PARK","NY","12065",
"NASSAU","658000","Grocery Store","BJS WHOLESALE CLUB #212","BJS WHOLESALE CLUB INC","711","STEWART AVE",,,"GARDEN CITY","NY","11530","POINT (-73.608687 40.732355)"
"ALBANY","18986","Drug Store","RITE AID #4928","RITE AID OF NEW YORK INC","1863","CENTRAL AVENUE",,,"COLONIE","NY","122054221","POINT (-73.850199 42.732838)"
"NASSAU","284621","Garden Center","BIG VALLEY NURSERY & LANDSCAPE","LEO, CARMINE AND EMMA CAPOBIANCO","532","CEDAR SWAMP ROAD",,,"GLEN HEAD","NY","11545","POINT (-73.615802 40.842168)"
"NEW YORK","628663","Drug Store","RITE AID #4885","RITE AID OF NEW YORK INC","210-20","AMSTERDAM AVENUE",,,"NEW YORK","NY","100235005","POINT (-73.982903 40.776885)"
"MONROE","265009","Grocery Store","TOPS #0417","TOPS MARKETS LLC","1601","PENFIELD ROAD",,,"ROCHESTER","NY","14625","POINT (-77.494898 43.134523)"
"SUFFOLK","659879","Grocery Store","7 ELEVEN FOOD STORE #23924E","7 ELEVEN","500","OLD TOWN RD",,,"PORT JEFFERSON STA","NY","11776","POINT (-73.064669 40.908935)"
"ULSTER","515742","Roadside Stand","WRIGHT ORCHARDS LLC","WRIGHT THEODORE","699","ROUTE 208",,,"GARDINER","NY","12525","POINT (-74.138544 41.666653)"
"MONROE","660521","Drug Store","WALGREENS # 19725","WALGREEN EASTERN CO INC","1490","LAKE AVE.",,,"ROCHESTER","NY","14615","POINT (-77.629001 43.193835)"
"JEFFERSON","227496","Drug Store","KPH HEALTHCARE DBA KINNEY DRUGS #08","KPH HEALTHCARE SERVICES INC","22056","US ROUTE 11",,,"WATERTOWN","NY","136011693","POINT (-75.903626 43.995842)"
"SUFFOLK","661101","Other","ATLANTIC IRRIGATION SPECIALTIES INC #213","ED STANTALONE","213","BUTTER LANE",,,"BRIDGEHAMPTON","NY","11932","POINT (-72.311502 40.940148)"
"MONROE","266906","Hardware Store","HOME DEPOT THE #1247","HOME DEPOT USA INC","750","PANORAMA TRAILS SOUTH",,,"ROCHESTER","NY","14625","POINT (-77.493868 43.131288)"
"SUFFOLK","479678","Grocery Store","KING KULLEN GROCERY CO INC #33","KING KULLEN GROCERY CO INC","460","COUNTY ROAD 111",,,"MANORVILLE","NY","11949","POINT (-72.742447 40.849412)"
"WESTCHESTER","656999","Other","PETCO #3719","PETCO ANIMAL SUPPLIES, INC.","1275","BOSTON POST ROAD",,,"LARCHMONT","NY","10538","POINT (-73.745774 40.937894)"
"KINGS","618916","Hardware Store","HOME DEPOT THE #1256","HOME DEPOT USA INC","2970","CROPSEY AVENUE",,,"BROOKLYN","NY","11224","POINT (-73.986161 40.582103)"
"NEW YORK","658671","Drug Store","CVS PHARMACY # 10612","CVS/PHARMACY","65","5TH AVE",,,"NEW YORK","NY","10003","POINT (-73.993876 40.73564)"
"MONROE","263768","Grocery Store","PRICERITE OF ROCHESTER #208","PPRC INCORPORATED","375","DRIVING PARK AVENUE",,,"ROCHESTER","NY","14613","POINT (-77.640078 43.180936)"
"SUFFOLK","479398","Drug Store","RITE AID #10671","GENOVESE DRUG STORES INC","864","MIDDLE COUNTRY ROAD",,,"MIDDLE ISLAND","NY","11953","POINT (-72.940214 40.883561)"
"RICHMOND","647930","Drug Store","CVS PHARMACY # 6046","CVS ALBANY LLC","2690","HYLAN BLVD",,,"STATEN ISLAND","NY","10306","POINT (-74.113452 40.566702)"
"SUFFOLK","658368","Floral Shop","THE CENTREFOLIAGE DESIGNER INC","HECTOR A VASQUEZ","89","CHAPEL HILL DR",,,"BRENTWOOD","NY","11717","POINT (-73.259395 40.797979)"
"ORANGE","339853","Grocery Store","SHOPRITE OF VAILS GATE","SHOPRITE SUPERMARKETS INC","384","WINDSOR HIGHWAY",,,"NEW WINDSOR","NY","12553","POINT (-74.054766 41.458518)"
"QUEENS","638476","Drug Store","RITE AID #1809","RITE AID DRUG PALACE, INC","222-14","LINDEN BOULEVARD",,,"CAMBRIA HEIGHTS","NY","114111606","POINT (-73.737948 40.694454)"
"KINGS","662171","Floral Shop","THE SILL","ELIZA BLANK","195","PACIFIC STREET",,,"BROOKLYN","NY","11201","POINT (-73.993059 40.689136)"
"MONROE","658841","Other","DOLLAR TREE #00935","DOLLAR TREE","20","SPENCERPORT ROAD",,,"ROCHESTER","NY","14606","POINT (-77.691611 43.165021)"
"NASSAU","656872","Grocery Store","7 ELEVEN FOOD STORE #34373A","CHAUDRY, MOHAMMAD","200","EAST MERRICK ROAD",,,"FREEPORT","NY","11520","POINT (-73.570775 40.653777)"
"QUEENS","637313","Drug Store","CVS PHARMACY # 2720","CVS ALBANY LLC","88-07","ROCKAWAY BEACH BLVD",,,"ROCKAWAY BEACH","NY","11693","POINT (-73.813426 40.58723)"
"QUEENS","659479","Grocery Store","WESTERN BEEF RETAIL INC","EUGENE ACEVEDO","145-35","ROCKAWAY BLVD",,,"SOUTH OZONE PARK","NY","11420","POINT (-73.792193 40.673537)"
"CHAUTAUQUA","662080","Other","CORNELL COOPERATIVE EXT. CHAUT. CO.","EMILY REYNOLDS - EXECUTIVE DIRECTOR","525","FALCONER ST.","PO BOX 20",,"JAMESTOWN","NY","14702",
"SUFFOLK","660455","Grocery Store","ALDI INC #4","ALDI INC","614","MIDDLE COUNTRY ROAD",,,"SELDEN","NY","11784","POINT (-73.033393 40.866831)"
"OTSEGO","660622","Drug Store","WALGREENS #19526","WALGREEN EASTERN CO INC","5626","STATE HIGHWAY 7, SUITE 4",,,"ONEONTA","NY","13820","POINT (-75.015036 42.462184)"
"KINGS","614552","Grocery Store","BOGOPA-ST JOHNS INC","BOGOPA SERVICE CORP","1682","ST JOHNS PLACE",,,"BROOKLYN","NY","11233","POINT (-73.921555 40.670075)"
"ERIE","149338","Grocery Store","PRICERITE OF KENMORE AVENUE","PRICERITE OF KENMORE AVE","1716","KENMORE AVENUE",,,"BUFFALO","NY","14216","POINT (-78.88249 42.95861)"
"BROOME","661023","Landscaper","NORTHERN SCAPES","PAMELA J ALLEN & ROBERT W ALLEN","1565","EAST MAINE ROAD",,,"JOHNSON CITY","NY","13790","POINT (-76.037247 42.212986)"
"ORANGE","338083","Grocery Store","STOP & SHOP SPRMKT #528","STOP & SHOP SUPERMARKET CO LLC","1429","ROUTE 300",,,"NEWBURGH","NY","12550","POINT (-74.070857 41.522502)"
"SUFFOLK","661078","Grocery Store","7 ELEVEN #11163A","NIRAV PATEL","328","DEPOT ROAD",,,"HUNTINGTON STATION","NY","11746","POINT (-73.396351 40.837948)"
"QUEENS","659757","Dept. Store","MARSHALLS STORE #601","MARSHALLS OF MA, INC","48-18","NORTHERN BLVD",,,"LONG ISLAND CITY","NY","11101","POINT (-73.913968 40.753488)"
"KINGS","618519","Drug Store","RITE AID #4246","RITE AID OF NEW YORK INC","892-908","FLATBUSH AVENUE",,,"BROOKLYN","NY","112264018","POINT (-73.958536 40.649723)"
"WESTCHESTER","559210","Grocery Store","STOP & SHOP SPRMKT #530","STOP & SHOP SUPERMARKET CO LLC","390","BROADWAY",,,"DOBBS FERRY","NY","105221726","POINT (-73.870449 41.015007)"
"ONONDAGA","311200","Other","NORTHERN NURSERY OF NY INC","ROBERT BAKER JR","8633","US ROUTE 11",,,"CICERO","NY","13039",
"NIAGARA","298790","Drug Store","RITE AID #1912","RITE AID OF NEW YORK INC","3987","LOCKPORT OLCOTT ROAD",,,"LOCKPORT","NY","140941132","POINT (-78.67693 43.219408)"
"NASSAU","285925","Drug Store","CVS PHARMACY # 745","CVS ALBANY LLC","594","ATLANTIC AVE",,,"EAST ROCKAWAY","NY","11518","POINT (-73.664201 40.640968)"
"NEW YORK","659552","Grocery Store","FOOD EMPORIUM","PAUL & PASQUALE CONTE","810","8TH AVENUE",,,"NEW YORK","NY","10019","POINT (-73.986284 40.762053)"
"ERIE","147196","Dept. Store","WAL-MART #2586","WAL-MART STORES EAST LP","2500","WALDEN AVENUE",,,"CHEEKTOWAGA","NY","14225","POINT (-78.742926 42.908354)"
"DUTCHESS","131486","Grocery Store","SHOPRITE OF POUGHKEEPSIE #206","SHOPRITE SUPERMARKETS INC","1895","SOUTH ROAD SUITE 3B",,,"POUGHKEEPSIE","NY","12601","POINT (-73.916758 41.618503)"
"SUFFOLK","477826","Dept. Store","TARGET STORE #1191","TARGET CORPORATION","265","POND PATH ROAD",,,"SOUTH SETAUKET","NY","11733",
"RENSSELAER","658881","Other","DOLLAR TREE #01419","DOLLAR TREE","720","HOOSICK ROAD # W1-9",,,"TROY","NY","12180","POINT (-73.644925 42.743796)"
"ERIE","660730","Grocery Store","7 ELEVEN FOOD STORE #35131A","7 ELEVEN FOOD STORE","1971","SOUTH PARK AVENUE",,,"BUFFALO","NY","14220","POINT (-78.823721 42.845121)"
"NEW YORK","620081","Grocery Store","GRISTEDE'S # 601","NAMDOR INC","2700","BROADWAY",,,"NEW YORK","NY","10025","POINT (-73.968356 40.799233)"
"RICHMOND","646852","Hardware Store","HOME DEPOT THE #1249","HOME DEPOT USA INC","2501","FOREST AVENUE",,,"STATEN ISLAND","NY","10303","POINT (-74.172121 40.627548)"
"ONONDAGA","659659","Dept. Store","TJ MAXX STORE #867","TJX COMPANIES INC","3841","STATE ROAD 31",,,"LIVERPOOL","NY","13090","POINT (-76.247694 43.184284)"
"ORLEANS","661082","Other","S + T CHRIST FARMS","SCOTT CHRIST","16561","PHILLIPS ROAD",,,"HOLLEY","NY","14470","POINT (-78.048016 43.268804)"
"BROOME","34522","Floral Shop","ENCHANTED FLORIST","JOHNSON STEVEN K","2975","NY ROUTE 7",,,"HARPURSVILLE","NY","13787","POINT (-75.606163 42.191688)"
"CLINTON","97519","Drug Store","KPH HEALTHCARE DBA KINNEY DRUGS #19","KPH HEALTHCARE SERVICES INC","288","CORNELIA STREET",,,"PLATTSBURGH","NY","12901","POINT (-73.474875 44.69772)"
"QUEENS","660712","Floral Shop","FRESH POND FLORIST INC","LEYDY AVILA","66-33","FRESH POND ROAD",,,"RIDGEWOOD","NY","11385","POINT (-73.897669 40.707919)"
"ERIE","140007","Garden Center","GRABBER & SONS INC","GRABBER&SONS INC","3242","HARLEM ROAD",,,"CHEEKTOWAGA","NY","14225","POINT (-78.784156 42.932072)"
"BRONX","603083","Grocery Store","SS ENTERPRISES NY INC.  #39084A","SHARMA SUNIL","557","GRAND CONCOURSE AVENUE",,,"BRONX","NY","10451","POINT (-73.927196 40.818993)"
"SUFFOLK","478915","Drug Store","WALGREENS #5439","WALGREEN EASTERN COMPANY INC","1770","DEER PARK AVENUE",,,"DEER PARK","NY","11729","POINT (-73.327341 40.756733)"
"NASSAU","280381","Grocery Store","H&Y MARKETPLACE","ROBERT HAN","478","PLAINVIEW ROAD",,,"HICKSVILLE","NY","11801","POINT (-73.502363 40.76964)"
"ONONDAGA","316905","Hardware Store","HOME DEPOT THE #1236","HOME DEPOT USA INC","5814","BRIDGE STREET",,,"EAST SYRACUSE","NY","13057","POINT (-76.068864 43.05273)"
"MADISON","253988","Grocery Store","TOPS #359","TOPS PT LLC","900","WEST GENESEE ST",,,"CHITTENANGO","NY","13037","POINT (-75.902344 43.048714)"
"ERIE","661183","Grocery Store","7 ELEVEN #35155A","RAWA S ANABI AND SAM ANABI","475","FRENCH ROAD",,,"BUFFALO","NY","14227","POINT (-78.736711 42.868021)"
"LIVINGSTON","244047","Roadside Stand","ABBOTTS FARM MARKET","ABBOTT TRACY L",,"CORNER CLARA BARTON ST","JEFFERSON ST",,"DANSVILLE","NY","14437","POINT (-77.723485 42.572866)"
