"unitnumber","acquisitiondate","make","manufacturer","model","modelyear","statusdescription","categoryclassdesc","maintlocationname","ltd_fuelquantity","ltdusage1","meter1","class1description","usingdepartment","usingdescription","age","ltdcontributions","purchasecost","changedate"
"E603","2010-02-24T00:00:00.000","GULFINDUST","GULFINDUST","TMA9000","2009","Ready for disposal","TRAILER, ATTENUATOR","Truck Shop","0","0","0","OFF","400-1329","Stormwater","10","24719.02","24719","2020-10-21T12:54:51.000"
"E234","2007-10-19T00:00:00.000","FORD","FORD","F250SD","2008","Active unit","TRUCK, PICKUP, 3/4 TON, REGULAR CAB, E10","Car Shop","7579.18","82075","82075","ON","400-1281","Stormwater","13","16834","16834","2020-10-15T10:37:08.000"
"R6465","2015-05-28T00:00:00.000","PETERBILT","PETERBILT","320","2016","Active unit","TRUCK, COMPACTOR, RECYCLING, SIDE LOAD, CNG","Sanitation Shop","0","53685","53685","ON","450-2275","Sanitation","5","0","299104.2","2020-10-02T16:14:54.000"
"E503","2015-01-16T00:00:00.000","INTERNATNL","INTERNATNL","5900I SBA","2015","Active unit","TRUCK, TRACTOR, DIESEL","Truck Shop","3673.88","13195","13195","ON","400-1313","Stormwater","5","99032.24","159970","2020-10-22T01:02:16.000"
"K857","2018-07-02T00:00:00.000","TOWMASTER","TOWMASTER","T12DB","2018","Active unit","TRAILER, UTILITY, TANDEM AXLE","Specialty Equipment Shop","0","0","0","OFF","190-2365","Parks and Recreation","2","3754.28","9839","2020-10-26T07:58:09.000"
"E7710","2007-05-31T00:00:00.000","STIHL","STIHL","MS200T 16","2007","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","400-1265","Stormwater","13","0","434.46","2020-06-30T15:16:22.000"
"K6509","2015-06-29T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR HPX","2015","Active unit","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","2.05","1619","1619","OFF","190-2405","Parks and Recreation","5","16193.79","11186.8","2020-07-29T13:18:40.000"
"E7760","2007-02-22T00:00:00.000","STIHL","STIHL","FC75","2007","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1309","Stormwater","13","0","236.96","2020-06-30T15:29:36.000"
"W7315","2002-12-09T00:00:00.000","WACKER","WACKER","BPU2950A","2002","Active unit","COMPACTOR, ASPHALT, E10","Specialty Equipment Shop","0","0","0","OFF","420-2145","Water Resources","18","3788","3788","2020-07-13T10:47:29.000"
"R200","2012-08-23T00:00:00.000","FORD","FORD","F250SD","2012","Reached end of economical life","TRUCK, PICKUP, 3/4 TON, UTILITY BODY, E10","Truck Shop","9695.45","71911","71911","ON","450-2257","Sanitation","8","24674.7","24674.7","2020-10-23T01:02:10.000"
"K323","2016-09-26T00:00:00.000","FORD","FORD","F550SD","2016","Active unit","TRUCK, DUMP, 1-2 CU YD, DIESEL","Truck Shop","2816.99","22870","22996","ON","190-2437","Parks and Recreation","4","34419.71","49949.95","2020-10-23T01:01:57.000"
"F7900","2018-10-05T00:00:00.000","STIHL","STIHL","BG86","2019","Active unit","BLOWER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","150-1497","Fire Rescue","2","0","221.16","2020-03-29T15:42:37.000"
"F509","2002-10-07T00:00:00.000","FREIGHTLNR","FREIGHTLNR","FL70","2003","Active unit","TRUCK, TRACTOR, DIESEL","Truck Shop","4412.09","22445","22445","ON","150-1497","Fire Rescue","18","46950","46950","2020-09-15T07:37:17.000"
"K614","1999-12-08T00:00:00.000","HONDA","HONDA","EM2500XK1A","2000","Active unit","GENERATOR, PORTABLE, E10","Specialty Equipment Shop","0","0","0","OFF","282-1817","Enterprise","21","0","975","2020-07-01T10:50:49.000"
"R7138","2018-07-30T00:00:00.000","CATERPILAR","CATERPILAR","416F","2018","Active unit","BACKHOE, LOADER, DIESEL","Sanitation Shop","3409.58","2224","2224","OFF","450-2253","Sanitation","2","39610.58","97832","2020-10-21T01:02:01.000"
"W6301","2013-03-20T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR HPX","2013","Active unit","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","79.9","785","785","OFF","420-2117","Water Resources","7","11573","10873","2020-10-22T11:48:11.000"
"K603","2013-10-01T00:00:00.000","HONDA","HONDA","EU2000IAN1","2014","Active unit","GENERATOR, PORTABLE, E10","Specialty Equipment Shop","0","0","0","OFF","190-1597","Parks and Recreation","7","0","0","2020-07-01T10:41:59.000"
"E7723","2017-05-17T00:00:00.000","STIHL","STIHL","BG86","2017","Active unit","BLOWER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1277","Stormwater","3","0","221.16","2020-06-30T15:20:31.000"
"F432","2013-12-13T00:00:00.000","SUTPHEN","SUTPHEN","SHIELD S1","2014","Active unit","FIRE TRUCK, PUMPER","Truck Shop","12565.06","55135","55071","ON","150-1497","Fire Rescue","7","291092.13","431237.48","2020-10-25T01:01:52.000"
"Y7304","2003-09-24T00:00:00.000","ECHO","ECHO","PB210","2003","Active unit","BLOWER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1277","Stormwater","17","0","239.99","2020-07-01T15:22:10.000"
"K714","2018-03-20T00:00:00.000","BUFTU","BUFTU","CYCLONE 8000","2018","Active unit","BLOWER, PULL-BEHIND, E10","Specialty Equipment Shop","0","0","1","OFF","190-2373","Parks and Recreation","2","4747.15","5095","2020-10-23T11:44:58.000"
"F443","2010-06-30T00:00:00.000","SUTPHEN","SUTPHEN","SHIELD S1","2010","Planned Replacement","FIRE TRUCK, PUMPER","Truck Shop","29005.34","111087","111087","ON","150-1497","Fire Rescue","10","364622","364622","2020-10-26T01:02:03.000"
"K852","2018-07-02T00:00:00.000","TOWMASTER","TOWMASTER","T12DB","2018","Active unit","TRAILER, UTILITY, TANDEM AXLE","Specialty Equipment Shop","0","0","0","OFF","190-2437","Parks and Recreation","2","2619.68","9839","2020-10-21T08:55:13.000"
"E7726","2017-06-01T00:00:00.000","STIHL","STIHL","BR600","2017","Active unit","BLOWER, BACK PACK, E10","Specialty Equipment Shop","0","0","0","OFF","400-2343","Stormwater","3","0","394.96","2020-06-30T15:22:52.000"
"R8500","2015-08-14T00:00:00.000","TORO","TORO","30345/3280D","2015","Active unit","MOWER, DECK, RIDING, DIESEL","Specialty Equipment Shop","353.48","1350","1350","OFF","450-2253","Sanitation","5","26377.19","21700.58","2020-09-15T14:14:03.000"
"K102","2014-09-30T00:00:00.000","FORD","FORD","EXPLORER","2015","Active unit","UTILITY, FULL SIZE, 4DR, E10","Car Shop","1011.29","17569","17569","ON","190-1573","Parks and Recreation","6","32321.37","25373","2020-10-22T09:07:56.000"
"S261","2016-04-26T00:00:00.000","FORD","FORD","F250SD","2001","Reached end of economical life","TRUCK, PICKUP, 3/4 TON, REGULAR CAB, E10","Car Shop","2662.37","99306","99306","ON","282-1113","Enterprise","4","0","0","2020-10-23T01:02:14.000"
"K8411","2014-04-01T00:00:00.000","TORO","TORO","5910","2014","Active unit","MOWER, DECK, RIDING, DIESEL","Specialty Equipment Shop","15199.89","5009","5009","OFF","190-2437","Parks and Recreation","6","102496","92496","2020-10-26T09:19:42.000"
"W263","2017-10-12T00:00:00.000","FORD","FORD","F250SD","2017","Active unit","TRUCK, PICKUP, 3/4 TON, UTILITY BODY, E10","Truck Shop","1306.29","15410","15645","ON","420-2145","Water Resources","3","27585.2","29093","2020-10-24T01:02:15.000"
"K457","2017-11-03T00:00:00.000","FORD","FORD","F550SD","2017","Active unit","TRUCK, STAKE BODY, FLAT BED, CREW CAB, DIESEL","Truck Shop","1047.13","8443","8722","ON","190-2437","Parks and Recreation","3","21167.04","50128.53","2020-10-17T01:02:43.000"
"C7802","2008-07-03T00:00:00.000","STIHL","STIHL","FS80R","2008","Active unit","GRASS TRIMMER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","282-1113","Enterprise","12","0","244.86","2020-06-30T13:56:13.000"
"K7532","2015-08-18T00:00:00.000","STIHL","STIHL","FC90","2015","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-2343","Stormwater","5","0","276.46","2020-07-01T16:09:25.000"
"K354","2012-03-19T00:00:00.000","INTERNATNL","INTERNATNL","4300","2013","Reached end of economical life","TRUCK, DUMP, 3-5 CU YD, DIESEL","Truck Shop","10001.2","59165","59165","ON","190-2471","Parks and Recreation","8","106492","82414","2020-10-15T14:17:40.000"
"W322","2012-03-29T00:00:00.000","INTERNATNL","INTERNATNL","4300","2013","Active unit","TRUCK, DUMP, 3-5 CU YD, DIESEL","Truck Shop","7506.29","39946","39946","ON","420-2117","Water Resources","8","89414","82414","2020-10-22T11:52:35.000"
"W889","2008-04-15T00:00:00.000","TOWMASTER","TOWMASTER","T10T","2008","Active unit","TRAILER, FLAT BED TILTING","Specialty Equipment Shop","0","0","0","OFF","420-2117","Water Resources","12","6780.21","6510","2020-06-09T11:11:25.000"
"E108","2013-10-14T00:00:00.000","FORD","FORD","ESCAPE","2014","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","2588.67","40179","40179","ON","130-1353","Engineering","7","17580.03","18617","2020-10-22T01:02:25.000"
"K8339","2013-12-03T00:00:00.000","JOHNDEERE","JOHNDEERE","5075M","2013","Active unit","TRACTOR, FARM, CAB, DIESEL","Specialty Equipment Shop","414.09","2315","2315","OFF","190-2471","Parks and Recreation","7","43439.82","44102.81","2020-10-22T09:21:34.000"
"R6257","2018-04-02T00:00:00.000","PETERBILT","PETERBILT","520","2018","Active unit","TRUCK, COMPACTOR, SIDE LOAD, ARM, CNG","Sanitation Shop","0","27871","28519","ON","450-2281","Sanitation","2","0","0","2020-10-22T17:21:04.000"
"K8231","2012-06-27T00:00:00.000","KUBOTA","KUBOTA","L39TL","2012","Reached end of economical life","LOADER, WHEEL, DIESEL","Specialty Equipment Shop","486.11","2075","2075","OFF","190-2471","Parks and Recreation","8","49999.86","27155.67","2020-10-01T08:24:26.000"
"S433","1994-08-19T00:00:00.000","FORD","FORD","F700","1994","Reached end of economical life","TRUCK, TANKER, BULK PRODUCT, DIESEL","Truck Shop","684.08","23580","23580","ON","800-2521","Fleet Management","26","0","31520","2020-10-01T10:30:16.000"
"R7611","2016-02-23T00:00:00.000","STIHL","STIHL","BG86","2016","Active unit","BLOWER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","450-2253","Sanitation","4","0","1","2020-10-01T10:29:01.000"
"W6308","2013-10-03T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR TE","2013","Active unit","ATV, DUMP BED, 1-2 PASSENGER, ELECTRIC","Specialty Equipment Shop","0","450","450","OFF","420-2077","Water Resources","7","12384.28","12384.28","2020-06-08T14:07:26.000"
"E363","2018-06-21T00:00:00.000","FORD","FORD","F550","2018","Active unit","TRUCK, DUMP, 1-2 CU YD, CREW CAB, DIESEL","Truck Shop","2964.58","23959","24253","ON","400-2343","Stormwater","2","19675.98","55226.43","2020-10-20T01:02:07.000"
"K221","2014-08-11T00:00:00.000","FORD","FORD","F250SD","2015","Active unit","TRUCK, PICKUP, 3/4 TON, UTILITY BODY, E10","Truck Shop","4879.18","45468","45468","ON","190-2365","Parks and Recreation","6","32342.89","25922","2020-10-22T09:08:41.000"
"E8603","2015-10-23T00:00:00.000","TORO","TORO","30461/7200","2016","Active unit","MOWER, DECK, RIDING, DIESEL","Specialty Equipment Shop","171.13","1216","1216","OFF","400-2343","Stormwater","5","22553.93","17970.92","2020-10-22T09:10:51.000"
"H21002","2020-09-02T00:00:00.000","INTERNATNL","INTERNATNL","MV607 SBA","2021","Active unit","TRUCK, DUMP, 3-5 CU YD, DIESEL","Truck Shop","161.13","818","982","ON","190-2471","Parks and Recreation","0","0","106492","2020-10-26T10:12:34.000"
"R8111","2010-12-10T00:00:00.000","TORO","TORO","30345/3280D","2011","Reached end of economical life","MOWER, DECK, RIDING, DIESEL","Specialty Equipment Shop","1134.35","1326","1326","OFF","450-2253","Sanitation","10","20249","20249","2020-10-16T06:59:46.000"
"N726","2017-08-16T00:00:00.000","WESTWRDIND","WESTWRDIND","GO-4","2017","Active unit","MOTORIZED CART, 1-2 PASSENGER, E10","Car Shop","1218.72","17865","17882","ON","281-1957","Transportation","3","20421.33","30999","2020-10-19T13:49:49.000"
"K6422","2014-06-30T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR HPX","2014","Active unit","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","0","2149","2149","OFF","190-2369","Parks and Recreation","6","12876.17","10608.17","2020-10-22T09:15:42.000"
"F9011","2002-04-23T00:00:00.000","FREIGHTLNR","FREIGHTLNR","MT45","2002","Active unit","VAN, 1-1/2 TON, UTILITY BODY, DIESEL","Truck Shop","1285.12","29713","29713","ON","150-1497","Fire Rescue","18","41639","41639","2020-10-26T01:01:39.000"
"E454","2015-09-30T00:00:00.000","INTERNATNL","INTERNATNL","4300","2016","Active unit","TRUCK, CRANE, 0-25FT, DUMP, DIESEL","Truck Shop","7306.76","42109","42109","ON","400-1297","Stormwater","5","110534.79","110624","2020-10-21T01:02:31.000"
"N101","2013-10-14T00:00:00.000","FORD","FORD","ESCAPE","2014","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","738.39","9493","9493","ON","350-2013","Billing and Collections","7","16534.17","18617","2020-10-21T15:22:18.000"
"E448","2015-02-02T00:00:00.000","FORD","FORD","F550SD","2015","Active unit","TRUCK, PICKUP, 2 TON, UTILITY, CREW, DIESEL","Truck Shop","7310.95","62663","62663","ON","400-1265","Stormwater","5","36980.12","47106","2020-10-24T01:01:42.000"
"E7612","2016-03-23T00:00:00.000","STIHL","STIHL","MS201T 16","2016","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","400-1321","Stormwater","4","0","521.36","2020-06-30T15:00:33.000"
"F7504","1995-03-08T00:00:00.000","STIHL","STIHL","026","1995","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","150-1497","Fire Rescue","25","0","283","2020-08-28T11:25:04.000"
"R7823","2018-04-27T00:00:00.000","STIHL","STIHL","FC91","2018","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","450-2253","Sanitation","2","0","276.46","2020-06-26T15:13:48.000"
"R8116","2016-11-17T00:00:00.000","PETERBILT","PETERBILT","320","2017","Active unit","TRUCK, COMPACTOR, FRONT LOAD, ARM, CNG","Sanitation Shop","0","57589","59335","ON","450-2269","Sanitation","4","0","0","2020-10-23T07:00:08.000"
"E8101","2011-01-05T00:00:00.000","JOHNDEERE","JOHNDEERE","Z997","2011","Active unit","MOWER, DECK, RIDING, DIESEL","Specialty Equipment Shop","103.69","925","925","OFF","400-2377","Stormwater","9","13821","13821","2020-10-23T01:01:47.000"
"E7614","2016-04-07T00:00:00.000","STIHL","STIHL","HT131","2016","Active unit","SAW, POLE EXTENDED, E10","Specialty Equipment Shop","0","0","0","OFF","400-1325","Stormwater","4","0","513.46","2020-06-30T15:01:29.000"
"F445","2006-07-25T00:00:00.000","PIERCE","PIERCE","CONTENDER","2006","Reached end of economical life","FIRE TRUCK, PUMPER","Truck Shop","33040.27","123724","123724","ON","150-1497","Fire Rescue","14","294562","294562","2020-10-21T01:01:58.000"
"E7407","2004-01-12T00:00:00.000","STIHL","STIHL","MS440","2004","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","400-1309","Stormwater","16","0","560.86","2020-06-30T14:37:27.000"
"K419","2013-11-08T00:00:00.000","FORD","FORD","F550SD","2014","Active unit","TRUCK, PICKUP, 2 TON, FLAT BED, DIESEL","Truck Shop","5528.49","41641","41641","ON","190-2425","Parks and Recreation","7","47633.58","43123","2020-10-24T01:01:58.000"
"R6599","2019-04-30T00:00:00.000","PETERBILT","PETERBILT","520","2020","Active unit","TRUCK, COMPACTOR, SIDE LOAD, ARM, CNG","Sanitation Shop","0","18679","19377","ON","450-2281","Sanitation","1","0","320658","2020-10-22T15:50:38.000"
"G7500","2004-10-05T00:00:00.000","STIHL","STIHL","BR420","2005","Active unit","BLOWER, BACK PACK, E10","Specialty Equipment Shop","0","0","0","OFF","282-1817","Enterprise","16","0","315.96","2020-07-01T07:32:08.000"
"C8300","1993-01-05T00:00:00.000","BILLYGOAT","BILLYGOAT","KD0501Q","1993","Active unit","YARD SWEEPER, WITH VACUUM, PUSH, E10","Specialty Equipment Shop","0","0","0","OFF","282-1113","Enterprise","27","625","625","2020-03-04T15:43:19.000"
"E263","2018-09-19T00:00:00.000","FORD","FORD","F250","2019","Active unit","TRUCK, PICKUP, 3/4 TON, CREW CAB, E10","Car Shop","2899.79","23864","21093","ON","130-1365","Engineering","2","10374.24","29523","2020-10-21T01:02:00.000"
"R606","2006-08-01T00:00:00.000","AUTOCAR","AUTOCAR","EXPEDITOR","2006","Active unit","TRUCK, COMPACTOR, SIDE LOAD, ARM, DIESEL","Sanitation Shop","88417.61","174501","174501","ON","450-2285","Sanitation","14","0","194972","2020-10-23T08:45:48.000"
"W7410","2003-12-02T00:00:00.000","STIHL","STIHL","HL100KSA","2004","Active unit","TRIMMER, SHRUBBERY, E10","Specialty Equipment Shop","0","0","0","OFF","420-2173","Water Resources","17","0","410.76","2020-09-16T10:22:37.000"
"R7826","2018-04-27T00:00:00.000","STIHL","STIHL","FC91","2018","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","450-2253","Sanitation","2","0","276.46","2020-06-26T15:14:15.000"
"S20007","2020-10-07T00:00:00.000","SULLAIR","SULLAIR","185 T4F","2020","Active unit","COMPRESSOR, TRAILER-MOUNTED, DIESEL","Specialty Equipment Shop","0","0","1","OFF","420-2181","Water Resources","0","0","22411","2020-10-19T07:58:32.000"
"F444","2012-05-29T00:00:00.000","SUTPHEN","SUTPHEN","SHIELD S1","2012","Active unit","FIRE TRUCK, PUMPER","Truck Shop","23034.54","83582","83582","ON","150-1497","Fire Rescue","8","366501.22","427956","2020-10-24T09:31:46.000"
"C162","2017-08-15T00:00:00.000","FORD","FORD","ESCAPE","2017","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","1865.33","19553","19553","ON","110-1125","Codes Compliance","3","12562.23","18400","2020-10-26T07:22:04.000"
"Y808","1999-04-14T00:00:00.000","VERMAC","VERMAC","UNKNOWN","1998","Active unit","TRAILER, MESSAGE BOARD","Specialty Equipment Shop","0","0","0","OFF","281-1289","Transportation","21","0","18000","2020-03-06T08:03:27.000"
"F215","2017-09-12T00:00:00.000","FORD","FORD","F150","2017","Active unit","TRUCK, PICKUP, 1/2 TON, CREW CAB, E85","Car Shop","2322.69","42564","42701","ON","150-1509","Fire Rescue","3","16682.4","31650.33","2020-10-22T01:01:42.000"
"K235","2016-07-18T00:00:00.000","CHEVROLET","CHEVROLET","COLORADO","2016","Active unit","TRUCK, PICKUP, 1/4 TON, EXTENDED CAB, E10","Car Shop","430.82","5665","5719","ON","190-2357","Parks and Recreation","4","24603.79","23571","2020-10-16T10:35:05.000"
"E7831","2018-06-20T00:00:00.000","STIHL","STIHL","FS240R","2018","Active unit","GRASS TRIMMER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1321","Stormwater","2","0","473.96","2020-06-30T15:43:57.000"
"W234","2012-07-31T00:00:00.000","FORD","FORD","F150","2012","Active unit","TRUCK, PICKUP, 1/2 TON, REGULAR CAB, E85","Car Shop","4975.2","53096","53096","ON","420-2117","Water Resources","8","15184.7","15184.7","2020-10-23T01:02:36.000"
"R216","2016-07-07T00:00:00.000","FORD","FORD","F250SD","2016","Active unit","TRUCK, PICKUP, 3/4 TON, REGULAR CAB, E85","Car Shop","8457.82","86004","86116","ON","450-2293","Sanitation","4","27291.7","22452.95","2020-10-22T01:01:41.000"
"E7118","2001-07-18T00:00:00.000","ECHO","ECHO","PB210","2001","Active unit","BLOWER, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1265","Stormwater","19","0","223.95","2020-06-30T14:18:42.000"
"E114","2017-08-16T00:00:00.000","FORD","FORD","ESCAPE","2017","Active unit","UTILITY, COMPACT, 4DR, E10","Car Shop","958.04","14554","14554","ON","130-1353","Engineering","3","10387.04","18400","2020-10-22T01:02:23.000"
"E355","2014-12-19T00:00:00.000","INTERNATNL","INTERNATNL","4300","2015","Active unit","TRUCK, DUMP, 1-2 CU YD, CREW CAB, DIESEL","Truck Shop","2924.16","13901","13901","ON","400-1321","Stormwater","6","88903.4","94495","2020-10-22T08:02:25.000"
"W468A","2007-04-30T00:00:00.000","AQUATECH","AQUATECH","GCH8HGE-B","2007","Reached end of economical life","CLEANER, SEWER RODDER, E10","Specialty Equipment Shop","282.33","0","0","OFF","420-2145","Water Resources","13","0","1","2020-08-04T16:22:11.000"
"E875","2010-03-01T00:00:00.000","TRAFCON","TRAFCON","TC115S","2007","Active unit","TRAILER, ARROW BOARD","Specialty Equipment Shop","0","0","0","OFF","400-1273","Stormwater","10","4309","4309","2020-07-17T09:06:13.000"
"E7845","2018-05-02T00:00:00.000","STIHL","STIHL","FC91","2018","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-2343","Stormwater","2","0","276.46","2020-10-21T12:02:25.000"
"E7814","2018-03-15T00:00:00.000","STIHL","STIHL","FC91","2018","Active unit","EDGER, GRASS, HANDHELD, E10","Specialty Equipment Shop","0","0","0","OFF","400-1321","Stormwater","2","0","276.46","2020-03-29T15:39:05.000"
"E855","2015-06-03T00:00:00.000","ALUM SLIDE","ALUM SLIDE","DB2TASO20100","2015","Active unit","TRAILER, BOAT TRANSPORT","Specialty Equipment Shop","0","0","0","OFF","400-1317","Stormwater","5","6866.39","5380","2020-05-29T07:06:04.000"
"B19001","2019-09-09T00:00:00.000","KIA","KIA","NIRO HYBRID","2019","Active unit","UTILITY, COMPACT, 4DR, HYBRID","Car Shop","204.79","5675","5675","ON","110-1125","Codes Compliance","1","8234.32","23827.33","2020-10-23T01:02:02.000"
"F424","2019-03-07T00:00:00.000","PIERCE","PIERCE","IMPEL XM","2019","Active unit","FIRE TRUCK, PUMPER","Truck Shop","2519.74","24880","24880","ON","150-1497","Fire Rescue","1","109971.81","577619","2020-10-26T10:05:38.000"
"R451","2002-10-07T00:00:00.000","FORD","FORD","F550","2002","Active unit","TRUCK, PICKUP, 2 TON, CREW CAB, DIESEL","Truck Shop","13852.39","102818","102818","ON","450-2253","Sanitation","18","0","39301","2020-10-01T08:29:10.000"
"K6501","2015-03-13T00:00:00.000","JOHNDEERE","JOHNDEERE","GATOR HPX","2015","Active unit","ATV, DUMP BED, 1-2 PASSENGER, E10","Specialty Equipment Shop","0","3114","3114","OFF","190-2357","Parks and Recreation","5","14570.6","10725.06","2020-10-19T09:27:02.000"
"K222","2014-08-11T00:00:00.000","FORD","FORD","F250SD","2015","Active unit","TRUCK, PICKUP, 3/4 TON, UTILITY BODY, E10","Truck Shop","4862.69","36279","36279","ON","190-2373","Parks and Recreation","6","31990.48","25922","2020-10-24T01:01:52.000"
"K712","1992-11-10T00:00:00.000","CLARK","CLARK","GPX-25","1993","Active unit","FORKLIFT, INDUSTRIAL, E10","Specialty Equipment Shop","5.1","1177","1177","OFF","190-2421","Parks and Recreation","28","25000","16319","2020-09-25T14:43:00.000"
"K19001","2020-03-11T00:00:00.000","HUSQVARNA","HUSQVARNA","K1270","2019","Active unit","CHAIN SAW, E10","Specialty Equipment Shop","0","0","0","OFF","150-1497","Fire Rescue","0","0","0","2020-08-04T14:33:34.000"
"K613","1999-12-08T00:00:00.000","HONDA","HONDA","EM2500XK1A","2000","Active unit","GENERATOR, PORTABLE, E10","Specialty Equipment Shop","0","0","0","OFF","282-1873","Enterprise","21","0","975","2020-07-01T10:50:26.000"
"Y809","1999-04-14T00:00:00.000","VERMAC","VERMAC","UNKNOWN","1998","Active unit","TRAILER, MESSAGE BOARD","Specialty Equipment Shop","0","0","0","OFF","281-1289","Transportation","21","0","18000","2020-03-06T08:03:27.000"
"R6373","2013-12-23T00:00:00.000","PETERBILT","PETERBILT","320","2014","Active unit","TRUCK, COMPACTOR, SIDE LOAD, ARM, CNG","Sanitation Shop","0","99308","99308","ON","450-2285","Sanitation","7","0","0","2020-10-20T19:18:24.000"
"R8202","2012-07-25T00:00:00.000","GRAVLEY","GRAVLEY","PRO26SP","2012","Active unit","MOWER, DECK, RIDING, E10","Specialty Equipment Shop","0","0","0","OFF","450-2305","Sanitation","8","0","1395.42","2020-03-05T08:06:43.000"
